mondo_id,mondo_curie,disease_label
MONDO_0007037,MONDO:0007037,achondroplasia
MONDO_0008713,MONDO:0008713,acrodermatitis enteropathica
MONDO_0008294,MONDO:0008294,acute intermittent porphyria
MONDO_0018544,MONDO:0018544,adrenoleukodystrophy
MONDO_0009897,MONDO:0009897,adult polyglucosan body disease
MONDO_0043209,MONDO:0043209,albinism
MONDO_0008752,MONDO:0008752,Alexander disease
MONDO_0013282,MONDO:0013282,alpha 1-antitrypsin deficiency
MONDO_0011399,MONDO:0011399,alpha thalassemia
MONDO_0018965,MONDO:0018965,Alport syndrome
MONDO_0016241,MONDO:0016241,alternating hemiplegia of childhood
MONDO_0007088,MONDO:0007088,Alzheimer disease type 1
MONDO_0012790,MONDO:0012790,amyotrophic lateral sclerosis type 10
MONDO_0012945,MONDO:0012945,amyotrophic lateral sclerosis type 11
MONDO_0011223,MONDO:0011223,amyotrophic lateral sclerosis type 4
MONDO_0008222,MONDO:0008222,Andersen-Tawil syndrome
MONDO_0019154,MONDO:0019154,androgen insensitivity syndrome
MONDO_0013426,MONDO:0013426,aneurysm-osteoarthritis syndrome
MONDO_0008397,MONDO:0008397,aplasia of lacrimal and salivary glands
MONDO_0008815,MONDO:0008815,argininosuccinic aciduria
MONDO_0008830,MONDO:0008830,aspartylglucosaminuria
MONDO_0018266,MONDO:0018266,ataxia - telangiectasia variant
MONDO_0008840,MONDO:0008840,ataxia telangiectasia
MONDO_0014500,MONDO:0014500,atrial conduction disease
MONDO_0020290,MONDO:0020290,atrioventricular septal defect
MONDO_0016244,MONDO:0016244,atypical hemolytic-uremic syndrome
MONDO_0009411,MONDO:0009411,autoimmune polyendocrine syndrome type 1
MONDO_0009925,MONDO:0009925,autosomal recessive inherited pseudoxanthoma elasticum
MONDO_0009675,MONDO:0009675,autosomal recessive limb-girdle muscular dystrophy type 2A
MONDO_0009677,MONDO:0009677,autosomal recessive limb-girdle muscular dystrophy type 2C
MONDO_0009889,MONDO:0009889,autosomal recessive polycystic kidney disease
MONDO_0013743,MONDO:0013743,autosomal systemic lupus erythematosus type 16
MONDO_0008854,MONDO:0008854,Bardet-Biedl syndrome 1
MONDO_0010543,MONDO:0010543,Barth syndrome
MONDO_0010311,MONDO:0010311,Becker muscular dystrophy
MONDO_0007534,MONDO:0007534,Beckwith-Wiedemann syndrome
MONDO_0009276,MONDO:0009276,Bernard-Soulier syndrome
MONDO_0019402,MONDO:0019402,beta thalassemia
MONDO_0008029,MONDO:0008029,Bethlem myopathy
MONDO_0008947,MONDO:0008947,bilateral striopallidodentate calcinosis
MONDO_0009665,MONDO:0009665,biotinidase deficiency
MONDO_0008876,MONDO:0008876,Bloom syndrome
MONDO_0011510,MONDO:0011510,Bohring-Opitz syndrome
MONDO_0015263,MONDO:0015263,Brugada syndrome
MONDO_0012742,MONDO:0012742,Brugada syndrome 3
MONDO_0015270,MONDO:0015270,butyrylcholinesterase deficiency
MONDO_0008828,MONDO:0008828,camptodactyly-arthropathy-coxa vara-pericarditis syndrome
MONDO_0010079,MONDO:0010079,Canavan disease
MONDO_0009376,MONDO:0009376,carbamoyl phosphate synthetase I deficiency disease
MONDO_0010753,MONDO:0010753,"cardiac valvular dysplasia, X-linked"
MONDO_0009705,MONDO:0009705,carnitine palmitoyl transferase 1A deficiency
MONDO_0015564,MONDO:0015564,Castleman disease
MONDO_0017990,MONDO:0017990,catecholaminergic polymorphic ventricular tachycardia
MONDO_0015626,MONDO:0015626,Charcot-Marie-Tooth disease
MONDO_0019011,MONDO:0019011,Charcot-Marie-Tooth disease type 1
MONDO_0007309,MONDO:0007309,Charcot-Marie-Tooth disease type 1A
MONDO_0010621,MONDO:0010621,CHILD syndrome
MONDO_0010826,MONDO:0010826,childhood absence epilepsy
MONDO_0011184,MONDO:0011184,childhood apraxia of speech
MONDO_0007319,MONDO:0007319,chondrocalcinosis 2
MONDO_0018305,MONDO:0018305,chronic granulomatous disease
MONDO_0015991,MONDO:0015991,citrullinemia
MONDO_0008988,MONDO:0008988,citrullinemia type I
MONDO_0008728,MONDO:0008728,classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
MONDO_0009258,MONDO:0009258,classic galactosemia
MONDO_0009348,MONDO:0009348,classic Hodgkin lymphoma
MONDO_0016064,MONDO:0016064,cleft palate
MONDO_0007617,MONDO:0007617,Coffin-Siris syndrome 1
MONDO_0014276,MONDO:0014276,combined immunodeficiency due to CD3gamma deficiency
MONDO_0014197,MONDO:0014197,combined immunodeficiency due to MALT1 deficiency
MONDO_0015517,MONDO:0015517,common variable immunodeficiency
MONDO_0009006,MONDO:0009006,complement component 2 deficiency
MONDO_0018479,MONDO:0018479,congenital adrenal hyperplasia
MONDO_0008730,MONDO:0008730,congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency
MONDO_0013184,MONDO:0013184,congenital diarrhea 5 with tufting enteropathy
MONDO_0013825,MONDO:0013825,congenital diarrhea 6
