rare_disease_name,oardkg_disease_id,prokn_disease_id,uniprot_accession,gene_symbols
"muscular dystrophy-dystroglycanopathy, type A",MONDO:0000171,OMIM:236670,Q9Y6A1,POMT1
familial juvenile hyperuricemic nephropathy,MONDO:0000608,OMIM:613092,P00797,REN
glycogen storage disease I,MONDO:0002413,OMIM:232240,O43826,SLC37A4
glycogen storage disease I,MONDO:0002413,OMIM:232220,O43826,SLC37A4
glycogen storage disease I,MONDO:0002413,OMIM:232200,P35575,G6PC1
Jervell and Lange-Nielsen syndrome,MONDO:0002441,OMIM:220400,P51787,KCNQ1
hepatic porphyria,MONDO:0002520,OMIM:612740,P13716,ALAD
amyotrophic lateral sclerosis,MONDO:0004976,OMIM:105500,Q96QT4,TRPM7
retinopathy of prematurity,MONDO:0006952,OMIM:133780,O75197,LRP5
retinopathy of prematurity,MONDO:0006952,OMIM:133780,Q9ULV1,FZD4
retinopathy of prematurity,MONDO:0006952,OMIM:133780,Q9ULV1-PRO_0000012985,FZD4
subvalvular aortic stenosis,MONDO:0006987,OMIM:185500,P15502,ELN
neurofibromatosis type 2,MONDO:0007039,OMIM:101000,P35240,NF2
Alzheimer disease type 1,MONDO:0007088,OMIM:104300,O95185,UNC5C
Alzheimer disease type 1,MONDO:0007088,OMIM:104300,P05067,AD1; A4; APP
Alzheimer disease type 1,MONDO:0007088,OMIM:104300,P05067-PRO_0000000088,AD1; APP; A4
Alzheimer disease type 1,MONDO:0007088,OMIM:104300,Q16643,DBN1
Alzheimer disease type 1,MONDO:0007088,OMIM:104300,Q92673,SORL1; C11orf32
Alzheimer disease type 1,MONDO:0007088,OMIM:104300,Q9BRN9,TM2D3
Finnish type amyloidosis,MONDO:0007097,OMIM:105120,P06396,GSN
familial amyloid neuropathy,MONDO:0007100,OMIM:105210,P02766,TTR
epidermolytic hyperkeratosis,MONDO:0007239,OMIM:113800,P04264,KRT1
"progressive familial heart block, type 1A",MONDO:0007240,OMIM:113900,Q14524,SCN5A
dilated cardiomyopathy 1A,MONDO:0007269,OMIM:115200,P02545,LMNA
Charcot-Marie-Tooth disease type 1A,MONDO:0007309,OMIM:118220,Q01453,PMP22
chondrocalcinosis 2,MONDO:0007319,OMIM:118600,Q9HCJ1,ANKH
inherited Creutzfeldt-Jakob disease,MONDO:0007403,OMIM:123400,P04156,PRP; PRNP; PRIP; ALTPRP
Crouzon syndrome,MONDO:0007405,OMIM:123500,P21802,FGFR2
Darier disease,MONDO:0007417,OMIM:124200,P16615,ATP2A2
maturity-onset diabetes of the young type 1,MONDO:0007452,OMIM:125850,P41235,HNF4A
Duane retraction syndrome,MONDO:0007473,OMIM:607323,Q9UJQ4,SALL4
Leri-Weill dyschondrosteosis,MONDO:0007481,OMIM:127300,O15266,SHOX
early-onset generalized limb-onset dystonia,MONDO:0007492,OMIM:128100,O14656,TOR1A
dystonia 12,MONDO:0007496,OMIM:128235,P13637,ATP1A3
Beckwith-Wiedemann syndrome,MONDO:0007534,OMIM:130650,P49918,CDKN1C
Beckwith-Wiedemann syndrome,MONDO:0007534,OMIM:130650,Q96L73,NSD1
multiple endocrine neoplasia type 1,MONDO:0007540,OMIM:131100,O00255,MEN1
primary erythermalgia,MONDO:0007571,OMIM:133020,Q15858,SCN9A
primary familial polycythemia due to EPO receptor mutation,MONDO:0007572,OMIM:133100,P19235,EPOR
Coffin-Siris syndrome 1,MONDO:0007617,OMIM:135900,Q8NFD5,ARID1B
hereditary diffuse gastric adenocarcinoma,MONDO:0007648,OMIM:137215,P12830,CDH1
spondyloepiphyseal dysplasia with congenital joint dislocations,MONDO:0007738,OMIM:143095,Q7LGC8,CHST3
hyperlipoproteinemia type V,MONDO:0007762,OMIM:144650,Q6Q788,APOA5
hyperlipoproteinemia type V,MONDO:0007762,OMIM:144650,Q6Q788-PRO_0000001981,APOA5
nonpapillary renal cell carcinoma,MONDO:0007763,OMIM:144700,O15527,OGG1
nonpapillary renal cell carcinoma,MONDO:0007763,OMIM:144700,P40337,VHL
nonpapillary renal cell carcinoma,MONDO:0007763,OMIM:144700,Q86U86,PBRM1
nonpapillary renal cell carcinoma,MONDO:0007763,OMIM:144700,Q8NFG4,FLCN
nonpapillary renal cell carcinoma,MONDO:0007763,OMIM:144700,Q8WU17,RNF139
nonpapillary renal cell carcinoma,MONDO:0007763,OMIM:144700,Q9BYW2,SETD2
hyperparathyroidism 2 with jaw tumors,MONDO:0007768,OMIM:145001,Q6P1J9,CDC73
multiple system atrophy,MONDO:0007803,OMIM:146500,Q96H96,COQ2
Hyper-IgE recurrent infection syndrome 1,MONDO:0007818,OMIM:147060,P40763,STAT3
Hyper-IgE recurrent infection syndrome 1,MONDO:0007818,OMIM:243700,Q8NF50,DOCK8
systemic lupus erythematosus,MONDO:0007915,OMIM:152700,O95267,RASGRP1
systemic lupus erythematosus,MONDO:0007915,OMIM:152700,P0C0L4,C4A; CO4; CPAMD2
systemic lupus erythematosus,MONDO:0007915,OMIM:152700,P0C0L5,CPAMD3; CO4; C4B_2; C4B
systemic lupus erythematosus,MONDO:0007915,OMIM:152700,P16410,CTLA4
systemic lupus erythematosus,MONDO:0007915,OMIM:152700,P23510,TNFSF4
systemic lupus erythematosus,MONDO:0007915,OMIM:152700,P24855,DNASE1
systemic lupus erythematosus,MONDO:0007915,OMIM:152700,P31994,FCGR2B
systemic lupus erythematosus,MONDO:0007915,OMIM:152700,Q8NDB2,BANK1
systemic lupus erythematosus,MONDO:0007915,OMIM:152700,Q9NSU2,TREX1
systemic lupus erythematosus,MONDO:0007915,OMIM:152700,Q9Y2R2,PTPN22
vitelliform macular dystrophy 2,MONDO:0007931,OMIM:153700,O76090,BEST1
Bethlem myopathy,MONDO:0008029,OMIM:158810,P12109,COL6A1
myotonic dystrophy type 1,MONDO:0008056,OMIM:602668,P62633,CNBP
myotonic dystrophy type 1,MONDO:0008056,OMIM:160900,Q09013,DMPK
myotonic dystrophy type 1,MONDO:0008056,OMIM:160900,Q9NR56,MBNL1
nonsyndromic congenital nail disorder 1,MONDO:0008060,OMIM:161050,O60353,FZD6
nonsyndromic congenital nail disorder 1,MONDO:0008060,OMIM:161050,O60353-PRO_0000012994,FZD6
familial juvenile hyperuricemic nephropathy type 1,MONDO:0008073,OMIM:162000,P07911,UMOD
multiple endocrine neoplasia type 2B,MONDO:0008082,OMIM:162300,P07949,RET
spinocerebellar ataxia type 7,MONDO:0008120,OMIM:164500,O15265,ATXN7
optic atrophy 3,MONDO:0008133,OMIM:165300,Q9H6K4,OPA3
southeast Asian ovalocytosis,MONDO:0008165,OMIM:166900,P02730,SLC4A1
paramyotonia congenita of Von Eulenburg,MONDO:0008195,OMIM:168300,P35499,SCN4A
Andersen-Tawil syndrome,MONDO:0008222,OMIM:170390,P63252,KCNJ2
hyperkalemic periodic paralysis,MONDO:0008224,OMIM:170500,P35499,SCN4A
polysyndactyly 4,MONDO:0008272,OMIM:174700,P10071,GLI3
acute intermittent porphyria,MONDO:0008294,OMIM:176000,P08397,HMBS
Liddle syndrome,MONDO:0008323,OMIM:177200,P51168,SCNN1B
Roussy-Levy syndrome,MONDO:0008392,OMIM:180800,P25189,MPZ
Silver-Russell syndrome,MONDO:0008394,OMIM:180860,P01344,IGF2
aplasia of lacrimal and salivary glands,MONDO:0008397,OMIM:180920,O15520,FGF10
hereditary spastic paraplegia 3A,MONDO:0008437,OMIM:182600,Q8WXF7,ATL1
hereditary spastic paraplegia 4,MONDO:0008438,OMIM:182601,Q9UBP0,SPAST
thrombocytopenia 2,MONDO:0008555,OMIM:188000,Q9UPS8,ANKRD26
tuberous sclerosis 1,MONDO:0008612,OMIM:191100,Q92574,TSC1
von Hippel-Lindau disease,MONDO:0008667,OMIM:193300,P40337,VHL
acrodermatitis enteropathica,MONDO:0008713,OMIM:201100,Q6P5W5,SLC39A4
congenital isolated adrenocorticotropic hormone deficiency,MONDO:0008720,OMIM:201400,O60806,TBX19
medium chain acyl-CoA dehydrogenase deficiency,MONDO:0008721,OMIM:201450,P11310,ACADM
short chain acyl-CoA dehydrogenase deficiency,MONDO:0008722,OMIM:201470,P16219,ACADS
congenital lipoid adrenal hyperplasia due to STAR deficency,MONDO:0008725,OMIM:201710,P49675,STAR
classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency,MONDO:0008728,OMIM:201910,P08686,CYP21A2
congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency,MONDO:0008730,OMIM:202110,P05093,CYP17A1
Alexander disease,MONDO:0008752,OMIM:203450,P14136,GFAP
IRIDA syndrome,MONDO:0008788,OMIM:206200,Q8IU80,TMPRSS6
camptodactyly-arthropathy-coxa vara-pericarditis syndrome,MONDO:0008828,OMIM:208250,Q92954,PRG4
aspartylglucosaminuria,MONDO:0008830,OMIM:208400,P20933,AGA
ataxia telangiectasia,MONDO:0008840,OMIM:208900,Q13315,ATM
Bardet-Biedl syndrome 1,MONDO:0008854,OMIM:615988,Q13049,TRIM32
Bloom syndrome,MONDO:0008876,OMIM:210900,P54132,BLM
progressive familial intrahepatic cholestasis type 1,MONDO:0008892,OMIM:211600,O43520,ATP8B1
PMM2-CDG,MONDO:0008907,OMIM:212065,O15305,PMM2
systemic primary carnitine deficiency disease,MONDO:0008919,OMIM:212140,O76082,SLC22A5
bilateral striopallidodentate calcinosis,MONDO:0008947,OMIM:213600,Q08357,SLC20A2
chordoma,MONDO:0008978,OMIM:215400,O15178,TBXT
citrullinemia type I,MONDO:0008988,OMIM:215700,P00966,ASS1
complement component 2 deficiency,MONDO:0009006,OMIM:217000,P06681,C2
macular corneal dystrophy,MONDO:0009020,OMIM:217800,Q9GZX3,CHST6
Costello syndrome,MONDO:0009026,OMIM:218040,P01112,HRAS
cytochrome-c oxidase deficiency disease,MONDO:0009068,OMIM:220110,P00395,MT-CO1
cytochrome-c oxidase deficiency disease,MONDO:0009068,OMIM:220110,P00403,MT-CO2
cytochrome-c oxidase deficiency disease,MONDO:0009068,OMIM:220110,P00414,MT-CO3
cytochrome-c oxidase deficiency disease,MONDO:0009068,OMIM:220110,Q15526,SURF1
congenital sucrase-isomaltase deficiency,MONDO:0009114,OMIM:222900,P14410,SI
recessive dystrophic epidermolysis bullosa,MONDO:0009179,OMIM:226600,Q02388,COL7A1
congenital factor V deficiency,MONDO:0009210,OMIM:227400,P12259,F5
classic galactosemia,MONDO:0009258,OMIM:230400,P07902,GALT
GM1 gangliosidosis type 1,MONDO:0009260,OMIM:230500,P16278,GLB1
Bernard-Soulier syndrome,MONDO:0009276,OMIM:231200,P07359,GP1BA
Bernard-Soulier syndrome,MONDO:0009276,OMIM:231200,P13224,GP1BB
Bernard-Soulier syndrome,MONDO:0009276,OMIM:231200,P14770,GP9
