disease,doid,n_genes,genes
liver disease,DOID_409,41,ANKS6; APOE; BBS9; C4B; CSF3R; ELN; F5; FHL1; FN1; GUSB; HAMP; HBA1; HBA2; HCK; HLA-B; HMGCS2; IDUA; LDLR; LIPA; LTBP3; LYZ; MMP23B; MYRF; NCF2; NCF4; NOD2; NOTCH2; OSTM1; PCK2; PDGFRB; SAA1; SEMA4A; SGSH; SH2B3; SLC37A4; SLC40A1; SPI1; STAB1; TF; TGFBR2; TNFRSF1B
nervous system disease,DOID_863,30,AGT; APOE; C2; CLDN5; COL6A3; CRB2; CSF1R; FGFR1; FN1; H3-3B; H3-5; HIP1; HLA-A; HLA-B; HMGB1; IL6R; ITGAM; KCTD17; LITAF; LRP12; MYO7A; PDGFRB; PSEN2; RNF213; SELP; SEMA4A; SERPINA3; TGFBI; THAP1; VIM
epilepsy,DOID_1826,28,AHSG; BBS9; C4A; C4B; CCND2; CLCF1; CLCN4; CRB2; CSF1R; FGFR1; HLA-B; HMGCS2; LRRK1; MMP23B; MYRF; NTNG2; OSTM1; PDGFRB; PRSS12; PSEN2; RNF213; SEMA4A; SERAC1; SGSH; SLC37A4; TGFBR2; UNC93B1; ZC3H14
hypertension,DOID_10763,27,AGT; APOE; BBS9; C2; C4A; C4B; CREB3L1; ELN; FES; FN1; HLA-B; IDUA; ITGAM; LDLR; LY6G6C; LYZ; MMP14; NOD2; NOTCH2; PGF; PTPRJ; RNF213; SELP; SH2B3; SLC37A4; SPI1; TGFBR2
inflammatory bowel disease,DOID_0050589,22,ADCY7; BBS9; DAP; F5; FOSL2; HLA-B; ITGAM; LITAF; LYZ; MYRF; NCF2; NCF4; NOD1; NOD2; NOTCH2; SAA1; SAA2; SH2B3; SLC37A4; ST8SIA2; TGFBR2; TLR5
diabetes mellitus,DOID_9351,19,AGT; APOE; BBS9; ELN; FGFR1; FN1; HAMP; HBA1; HBA2; HMGA1; ITGAM; LDLR; MGAM; MMP14; SEMA4A; SH2B3; SLC37A4; SLC40A1; SPI1
cardiomyopathy,DOID_0050700,15,AGT; ANKS6; BBS9; ELN; FHL1; GUSB; HAMP; HLA-B; IDUA; LRP12; MMP23B; PSEN2; SELENON; SGSH; SLC40A1
depressive disorder,DOID_1596,15,APOE; C4A; C4B; CLCN4; CSF1R; ELN; FGFR1; HLA-B; IDUA; ITGAM; KCTD17; MYO7A; PDGFRB; SEMA4A; TGFBR2
asthma,DOID_2841,15,ALOX5; BBS9; C4B; FGFR1; HLA-B; HLA-G; IL6R; LRP1; MYRF; NCF4; NEK6; NOD2; PIGX; PTGES; SLCO2B1
coronary artery disease,DOID_3393,15,AGT; APOE; C2; COL6A3; DAGLB; FES; FN1; IL6R; LDLR; LIPA; LRP1; RNF213; RRBP1; SELP; SH2B3
