URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://aopkb.org/aop_ontology#AdverseOutcomePathway,Adverse Outcome Pathway,A sequence of causally linked biological events leading from a molecular initiating event to an adverse health or environmental outcome.,Class,,,
http://aopkb.org/aop_ontology#CellTypeContext,Cell-term,The cell-type context in which a key event occurs.,Class,,,
http://aopkb.org/aop_ontology#KeyEvent,Key Event,A measurable biological change that is essential for progression along an adverse outcome pathway.,Class,,,
http://aopkb.org/aop_ontology#KeyEventRelationship,Key Event Relationship,A causal linkage describing how one key event leads to another.,Class,,,
http://aopkb.org/aop_ontology#OrganContext,Organ-term,The organ or organ-system context in which a key event occurs.,Class,,,
http://edamontology.org/data_1025,Gene identifier,"An identifier of a gene, such as a name/symbol or a unique identifier of a gene in a database.",Class,,,
http://edamontology.org/data_1027,Gene ID (NCBI),An NCBI unique identifier of a gene.,Class,,,
http://edamontology.org/data_1033,Ensembl gene ID,Unique identifier for a gene (or other feature) from the Ensembl database.,Class,,,
http://edamontology.org/data_2291,UniProt ID,An identifier of a polypeptide in the UniProt database.,Class,,,
http://edamontology.org/data_2298,Gene ID (HGNC),Identifier for a gene approved by the HUGO Gene Nomenclature Committee.,Class,,,
http://purl.obolibrary.org/obo/GO_0008150,biological process,"A biological process represents a series of molecular events with a defined beginning and end, carried out by one or more organized assemblies of molecular functions.",Class,,,
http://purl.obolibrary.org/obo/NCBITaxon_131567,cellular organisms,,Class,,,
http://purl.obolibrary.org/obo/NCIT_C54571,Stressor,"An agent, stimulus, activity, or event that causes stress on an organism, speeds up a reaction rate, or keeps a reaction rate the same.",Class,,,
http://semanticscience.org/resource/CHEMINF_000000,chemical entity,A chemical entity is any molecular entity or chemical substance.,Class,,,
http://semanticscience.org/resource/CHEMINF_000140,PubChem compound identifier (CID),,Class,,,
http://semanticscience.org/resource/CHEMINF_000405,ChemSpider identifier,Database identifier used by ChemSpider.,Class,,,
http://semanticscience.org/resource/CHEMINF_000406,DrugBank identifier,Database identifier used by DrugBank.,Class,,,
http://semanticscience.org/resource/CHEMINF_000407,ChEBI identifier,Database identifier used by ChEBI.,Class,,,
http://semanticscience.org/resource/CHEMINF_000408,HMDB identifier,Database identifier used by Human Metabolome Database.,Class,,,
http://semanticscience.org/resource/CHEMINF_000409,KEGG identifier,Database identifier used by KEGG.,Class,,,
http://semanticscience.org/resource/CHEMINF_000412,ChEMBL identifier,"Identifier used by the ChEMBL database for compounds, assays, target, etc.",Class,,,
http://semanticscience.org/resource/CHEMINF_000446,CAS registry number,Identifier used by the Chemical Abstracts Service database.,Class,,,
http://semanticscience.org/resource/CHEMINF_000564,LipidMaps identifier,"Identifier used by the LipidMaps database, http://www.lipidmaps.org/.",Class,,,
http://semanticscience.org/resource/CHEMINF_000567,Wikidata identifier,Database identifier used by Wikidata.,Class,,,
http://aopkb.org/aop_ontology#AopContext,Aop Context,Links a key event to the adverse outcome pathway context in which it participates.,Predicate,,,
http://aopkb.org/aop_ontology#CellTypeContext,Cell-term,The cell-type context in which a key event occurs.,Predicate,,,
http://aopkb.org/aop_ontology#LifeStageContext,Life Stage Context,The life-stage context in which a key event applies.,Predicate,,,
http://aopkb.org/aop_ontology#OrganContext,Organ-term,The organ or organ-system context in which a key event occurs.,Predicate,,,
http://aopkb.org/aop_ontology#has_adverse_outcome,has adverse outcome,Links an AOP to the final adverse effect at the individual or population level.,Predicate,,,
http://aopkb.org/aop_ontology#has_chemical_entity,has chemical entity,Links an AOP or key event to a chemical that can trigger or influence it.,Predicate,,,
http://aopkb.org/aop_ontology#has_downstream_key_event,has downstream key event,Identifies the later event in a key event relationship.,Predicate,,,
http://aopkb.org/aop_ontology#has_evidence,has evidence,Links to scientific evidence supporting an AOP or key event relationship.,Predicate,,,
http://aopkb.org/aop_ontology#has_key_event,has key event,Links an AOP to one of its component key events.,Predicate,,,
http://aopkb.org/aop_ontology#has_key_event_relationship,has key event relationship,Links an AOP to a causal relationship between two of its key events.,Predicate,,,
http://aopkb.org/aop_ontology#has_molecular_initiating_event,has molecular initiating event,Links an AOP to the initial interaction between a stressor and a biological system.,Predicate,,,
http://aopkb.org/aop_ontology#has_upstream_key_event,has upstream key event,Identifies the earlier event in a key event relationship.,Predicate,,,
http://edamontology.org/data_1025,Gene identifier,"An identifier of a gene, such as a name/symbol or a unique identifier of a gene in a database.",Predicate,,,
http://edamontology.org/data_1027,Gene ID (NCBI),An NCBI unique identifier of a gene.,Predicate,,,
http://edamontology.org/data_1033,Ensembl gene ID,Unique identifier for a gene (or other feature) from the Ensembl database.,Predicate,,,
http://edamontology.org/data_2042,data 2042,,Predicate,,,
http://edamontology.org/data_2291,UniProt ID,An identifier of a polypeptide in the UniProt database.,Predicate,,,
http://edamontology.org/data_2298,Gene ID (HGNC),Identifier for a gene approved by the HUGO Gene Nomenclature Committee.,Predicate,,,
http://edamontology.org/operation_3799,operation 3799,,Predicate,,,
http://purl.obolibrary.org/obo/GO_0008150,biological process,"A biological process represents a series of molecular events with a defined beginning and end, carried out by one or more organized assemblies of molecular functions.",Predicate,,,
http://purl.obolibrary.org/obo/MMO_0000000,MMO 0000000,,Predicate,,,
http://purl.obolibrary.org/obo/NCBITaxon_131567,cellular organisms,,Predicate,,,
http://purl.obolibrary.org/obo/NCIT_C25217,NCIT C25217,,Predicate,,,
http://purl.obolibrary.org/obo/NCIT_C25664,NCIT C25664,,Predicate,,,
http://purl.obolibrary.org/obo/NCIT_C25688,NCIT C25688,,Predicate,,,
http://purl.obolibrary.org/obo/NCIT_C25725,NCIT C25725,,Predicate,,,
http://purl.obolibrary.org/obo/NCIT_C48192,NCIT C48192,,Predicate,,,
http://purl.obolibrary.org/obo/NCIT_C54571,Stressor,"An agent, stimulus, activity, or event that causes stress on an organism, speeds up a reaction rate, or keeps a reaction rate the same.",Predicate,,,
http://purl.obolibrary.org/obo/NCIT_C71478,NCIT C71478,,Predicate,,,
http://purl.obolibrary.org/obo/NCIT_C80263,NCIT C80263,,Predicate,,,
http://purl.obolibrary.org/obo/PATO_0000001,quality,A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities.,Predicate,,,
http://purl.obolibrary.org/obo/PATO_0000047,biological sex,An organismal quality inhering in a bearer by virtue of the bearer's ability to produce gametes.,Predicate,,,
http://purl.obolibrary.org/obo/PATO_0001241,physical object quality,A quality which inheres in a continuant,Predicate,,,
http://purl.org/dc/elements/1.1/creator,creator,An entity primarily responsible for making the resource.,Predicate,,,
http://purl.org/dc/elements/1.1/description,description,An account of the resource.,Predicate,,,
http://purl.org/dc/elements/1.1/identifier,identifier,An unambiguous reference to the resource within a given context.,Predicate,,,
http://purl.org/dc/elements/1.1/source,source,A related resource from which the described resource is derived.,Predicate,,,
http://purl.org/dc/elements/1.1/title,title,A name given to the resource.,Predicate,,,
http://purl.org/dc/terms/abstract,abstract,A summary of the resource.,Predicate,,,
