URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://id.nlm.nih.gov/mesh/vocab#AllowedDescriptorQualifierPair,MeSH AllowedDescriptorQualifierPair,"A combined MeSH descriptor and qualifier, where the pairing is allowed by MeSH rules. These URIs are a mash up of the descriptor and qualifier identifiers, such as D000236Q000235.",Class,,,
http://id.nlm.nih.gov/mesh/vocab#CheckTag,MeSH CheckTag,A special class of descriptor singled out because they are so frequently applied to biomedical literature. There are only 2 Descriptors that are members of the class meshv:CheckTag: D005260 (Male) and D008297 (Female). These two Descriptors do not have tree numbers.,Class,,,
http://id.nlm.nih.gov/mesh/vocab#Concept,MeSH Concept,"MeSH concepts are meanings. Many MeSH concepts contain synonymous terms. meshv:Concept identifiers begin with 'M' such as M0000013,  'Congenital Abnormalities'.",Class,,,
http://id.nlm.nih.gov/mesh/vocab#Descriptor,MeSH Descriptor,"MeSH Descriptors are a cluster of one or more concepts used to describe what a publication is about. meshv:Descriptor is the parent class of meshv:TopicalDescriptor, meshv:GeographicDescriptor, meshv:PublicationType, and meshv:CheckTag.",Class,,,
http://id.nlm.nih.gov/mesh/vocab#DescriptorQualifierPair,MeSH DescriptorQualifierPair,A combined MeSH descriptor and qualifier pair. Allowed pairs (according to MeSH rules) belong to the class meshv:AllowedDescriptorQualifierPair. Disallowed pairs belong to the class meshv:DisallowedDescriptorQualifierPair.,Class,,,
http://id.nlm.nih.gov/mesh/vocab#DisallowedDescriptorQualifierPair,MeSH DisallowedDescriptorQualifierPair,"A combined MeSH descriptor and qualifier where the pairing is not allowed by MeSH rules, such as Abdomen/radiography.",Class,,,
http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,MeSH GeographicalDescriptor,"A descriptor that references places or regions of the world, such as D001061, 'Appalachian Region'.",Class,,,
http://id.nlm.nih.gov/mesh/vocab#PublicationType,MeSH PublicationType,A special class of descriptor that describes what type of publication a resource is as opposed to what it is about. All MeSH Publication Types are in the V tree.,Class,,,
http://id.nlm.nih.gov/mesh/vocab#Qualifier,MeSH Qualifier,"Also known as Subheadings, these provide context to the use of a MeSH Heading.",Class,,,
http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,MeSH SCR Chemical,"These are chemicals, drugs, enzymes, vitamins, etc.",Class,,,
http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,MeSH SCR Disease,SCR Diseases were originally brought into MeSH from a list maintained by the Office of Rare Diseases Research.,Class,,,
http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,MeSH SCR Organism,SCR Organisms includes viruses and more broadly organisms (B cat).,Class,,,
http://id.nlm.nih.gov/mesh/vocab#SCR_Population,SCR Population,A Supplementary Concept Record describing a study population.,Class,,,
http://id.nlm.nih.gov/mesh/vocab#SCR_Protocol,MeSH SCR Protocol,MeSH protocols are therapies in the domain of cancer treatment.,Class,,,
