URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://rdfs.org/ns/void#Dataset,Dataset,"A set of RDF triples published, maintained, or aggregated by a single provider and described using the VoID vocabulary.",Class,,,
https://w3id.org/biolink/vocab/ConceptCountAnalysisResult,Concept Count Analysis Result,A result of a concept count analysis.,Class,,,
https://w3id.org/biolink/vocab/Dataset,Dataset,An item that refers to a collection of data from a data source.,Class,,,
https://w3id.org/biolink/vocab/Disease,Disease,"A disorder of structure or function, especially one that produces specific signs, phenotypes, or symptoms, or affects a specific location and is not simply a direct result of physical injury.",Class,,,
https://w3id.org/biolink/vocab/DiseaseToPhenotypicFeatureAssociation,Disease To Phenotypic Feature Association,An association between a disease and a phenotypic feature in which the phenotypic feature is associated with the disease in some way.,Class,,,
https://w3id.org/biolink/vocab/EntityToDiseaseAssociation,Entity To Disease Association,"An association between an entity and a disease, represented as a typed Biolink association with subject, predicate, object, evidence, and provenance slots.",Class,,,
https://w3id.org/biolink/vocab/LogOddsAnalysisResult,Log Odds Analysis Result,A result of a log odds ratio analysis.,Class,,,
https://w3id.org/biolink/vocab/PhenotypicFeature,Phenotypic Feature,A combination of entity and quality that makes up a phenotyping statement; an observable characteristic of an individual often resulting from genotype-environment interaction.,Class,,,
https://w3id.org/biolink/vocab/PhenotypicFeatureToPhenotypicFeatureAssociation,Phenotypic Feature To Phenotypic Feature Association,"Association between two phenotypic feature concept nodes, qualified by the predicate used; often used for similar_to or member_of relationships.",Class,,,
https://w3id.org/biolink/vocab/Study,Study,A detailed investigation and/or analysis.,Class,,,
http://purl.org/dc/terms/modified,modified,Date on which the resource was changed.,Predicate,,http://rdfs.org/ns/void#Dataset,
http://purl.org/pav/lastUpdatedOn,last updated on,Date on which the resource was last updated.,Predicate,,http://rdfs.org/ns/void#Dataset,
http://purl.org/pav/version,version,The version number or version identifier of a resource.,Predicate,,http://rdfs.org/ns/void#Dataset,
http://rdfs.org/ns/void#distinctObjects,distinct objects,The total number of distinct objects occurring in a dataset or property partition.,Predicate,,http://rdfs.org/ns/void#Dataset,
http://rdfs.org/ns/void#distinctSubjects,distinct subjects,The total number of distinct subjects occurring in a dataset or property partition.,Predicate,,http://rdfs.org/ns/void#Dataset,
http://rdfs.org/ns/void#properties,properties,The total number of distinct properties used in a dataset.,Predicate,,http://rdfs.org/ns/void#Dataset,
http://rdfs.org/ns/void#property,property,The RDF property that defines a VoID property partition.,Predicate,,http://rdfs.org/ns/void#Dataset,
http://rdfs.org/ns/void#propertyPartition,property partition,Relates a dataset to a subset containing only triples with a specific predicate.,Predicate,,http://rdfs.org/ns/void#Dataset,http://rdfs.org/ns/void#Dataset
http://rdfs.org/ns/void#triples,triples,The total number of triples contained in a dataset or linkset.,Predicate,,http://rdfs.org/ns/void#Dataset,
http://www.w3.org/2000/01/rdf-schema#label,label,A human-readable name for a resource.,Predicate,,https://w3id.org/biolink/vocab/Dataset|https://w3id.org/biolink/vocab/Disease|https://w3id.org/biolink/vocab/PhenotypicFeature,
https://w3id.org/biolink/vocab/category,category,Name of the high-level ontology class in which an entity is categorized; in RDF this often corresponds to a Biolink class URI.,Predicate,https://w3id.org/biolink/vocab/has_study_results,https://w3id.org/biolink/vocab/ConceptCountAnalysisResult|https://w3id.org/biolink/vocab/Dataset|https://w3id.org/biolink/vocab/Disease|https://w3id.org/biolink/vocab/DiseaseToPhenotypicFeatureAssociation|https://w3id.org/biolink/vocab/EntityToDiseaseAssociation|https://w3id.org/biolink/vocab/LogOddsAnalysisResult|https://w3id.org/biolink/vocab/PhenotypicFeature|https://w3id.org/biolink/vocab/PhenotypicFeatureToPhenotypicFeatureAssociation|https://w3id.org/biolink/vocab/Study,
https://w3id.org/biolink/vocab/concept_count_object,concept count object,The number of instances in a dataset or cohort whose records contain the concept in the object slot of an association.,Predicate,https://w3id.org/biolink/vocab/has_study_results,https://w3id.org/biolink/vocab/ConceptCountAnalysisResult,
https://w3id.org/biolink/vocab/concept_count_subject,concept count subject,The number of instances in a dataset or cohort whose records contain the concept in the subject slot of an association.,Predicate,https://w3id.org/biolink/vocab/has_study_results,https://w3id.org/biolink/vocab/ConceptCountAnalysisResult,
https://w3id.org/biolink/vocab/concept_pair_count,concept pair count,The number of instances in a dataset or cohort whose records contain both the subject and object concepts of an association.,Predicate,https://w3id.org/biolink/vocab/has_study_results,https://w3id.org/biolink/vocab/ConceptCountAnalysisResult,
https://w3id.org/biolink/vocab/dataset_count,dataset count,"The total number of instances, such as patients or rows, in a dataset or cohort.",Predicate,https://w3id.org/biolink/vocab/has_study_results,https://w3id.org/biolink/vocab/ConceptCountAnalysisResult,
https://w3id.org/biolink/vocab/has_study_results,has study results,Connects a study to instances of its study result.,Predicate,,https://w3id.org/biolink/vocab/Study,https://w3id.org/biolink/vocab/ConceptCountAnalysisResult|https://w3id.org/biolink/vocab/LogOddsAnalysisResult
https://w3id.org/biolink/vocab/has_supporting_studies,has supporting studies,Studies that produced information used as evidence to generate the knowledge expressed in an association.,Predicate,,https://w3id.org/biolink/vocab/DiseaseToPhenotypicFeatureAssociation|https://w3id.org/biolink/vocab/EntityToDiseaseAssociation|https://w3id.org/biolink/vocab/PhenotypicFeatureToPhenotypicFeatureAssociation,https://w3id.org/biolink/vocab/Study
https://w3id.org/biolink/vocab/log_odds_ratio,log odds ratio,The natural logarithm of the odds ratio estimated for the association in a sample population.,Predicate,https://w3id.org/biolink/vocab/has_study_results,https://w3id.org/biolink/vocab/LogOddsAnalysisResult,
https://w3id.org/biolink/vocab/log_odds_ratio_95_ci,log odds ratio 95 ci,The ninety-five percent confidence range in which the true log odds ratio for the sample population falls.,Predicate,https://w3id.org/biolink/vocab/has_study_results,https://w3id.org/biolink/vocab/LogOddsAnalysisResult,
https://w3id.org/biolink/vocab/object,object,"Connects an association to the object of the association; for example, in a gene-to-phenotype association, the phenotype is the object.",Predicate,,https://w3id.org/biolink/vocab/DiseaseToPhenotypicFeatureAssociation|https://w3id.org/biolink/vocab/EntityToDiseaseAssociation|https://w3id.org/biolink/vocab/PhenotypicFeatureToPhenotypicFeatureAssociation,https://w3id.org/biolink/vocab/Disease|https://w3id.org/biolink/vocab/PhenotypicFeature
https://w3id.org/biolink/vocab/predicate,predicate,A high-level grouping for the relationship type; also known as the minimal predicate for an association.,Predicate,,https://w3id.org/biolink/vocab/DiseaseToPhenotypicFeatureAssociation|https://w3id.org/biolink/vocab/EntityToDiseaseAssociation|https://w3id.org/biolink/vocab/PhenotypicFeatureToPhenotypicFeatureAssociation,
https://w3id.org/biolink/vocab/subject,subject,"Connects an association to the subject of the association; for example, in a gene-to-phenotype association, the gene is the subject.",Predicate,,https://w3id.org/biolink/vocab/DiseaseToPhenotypicFeatureAssociation|https://w3id.org/biolink/vocab/EntityToDiseaseAssociation|https://w3id.org/biolink/vocab/PhenotypicFeatureToPhenotypicFeatureAssociation,https://w3id.org/biolink/vocab/Disease|https://w3id.org/biolink/vocab/PhenotypicFeature
https://w3id.org/biolink/vocab/supporting_data_set,supporting data set,Connects an analysis result to the supporting dataset on which the result is based.,Predicate,https://w3id.org/biolink/vocab/has_study_results,https://w3id.org/biolink/vocab/ConceptCountAnalysisResult,https://w3id.org/biolink/vocab/Dataset
https://w3id.org/biolink/vocab/total_sample_size,total sample size,The total number of samples or observations included in the analysis result.,Predicate,https://w3id.org/biolink/vocab/has_study_results,https://w3id.org/biolink/vocab/LogOddsAnalysisResult,
