URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
https://climatepub4kg.github.io/ontology#Activity,Activity,,Class,,,
https://climatepub4kg.github.io/ontology#City,City,,Class,,,
https://climatepub4kg.github.io/ontology#Continent,Continent,,Class,,,
https://climatepub4kg.github.io/ontology#Country_Subdivision,Country_Subdivision,,Class,,,
https://climatepub4kg.github.io/ontology#Country,Country,,Class,,,
https://climatepub4kg.github.io/ontology#Domain,Domain,,Class,,,
https://climatepub4kg.github.io/ontology#Ensemble,Ensemble,,Class,,,
https://climatepub4kg.github.io/ontology#Experiment,Experiment,,Class,,,
https://climatepub4kg.github.io/ontology#ExperimentFamily,ExperimentFamily,,Class,,,
https://climatepub4kg.github.io/ontology#Field,Field,,Class,,,
https://climatepub4kg.github.io/ontology#Forcing,Forcing,,Class,,,
https://climatepub4kg.github.io/ontology#Frequency,Frequency,,Class,,,
https://climatepub4kg.github.io/ontology#GridLabel,GridLabel,,Class,,,
https://climatepub4kg.github.io/ontology#Innovation,Innovation,,Class,,,
https://climatepub4kg.github.io/ontology#Institute,Institute,,Class,,,
https://climatepub4kg.github.io/ontology#Instrument,Instrument,,Class,,,
https://climatepub4kg.github.io/ontology#Keyword,Keyword,,Class,,,
https://climatepub4kg.github.io/ontology#Member,Member,,Class,,,
https://climatepub4kg.github.io/ontology#Method,Method,,Class,,,
https://climatepub4kg.github.io/ontology#Metric,Metric,,Class,,,
https://climatepub4kg.github.io/ontology#MIPEra,MIPEra,,Class,,,
https://climatepub4kg.github.io/ontology#Model,Model,,Class,,,
https://climatepub4kg.github.io/ontology#Natural_Hazard,Natural_Hazard,,Class,,,
https://climatepub4kg.github.io/ontology#NaturalHazardType,NaturalHazardType,,Class,,,
https://climatepub4kg.github.io/ontology#No_Country_Region,No_Country_Region,,Class,,,
https://climatepub4kg.github.io/ontology#ObservationalDataset,ObservationalDataset,,Class,,,
https://climatepub4kg.github.io/ontology#Ocean_Circulation,Ocean_Circulation,,Class,,,
https://climatepub4kg.github.io/ontology#Paper,Paper,,Class,,,
https://climatepub4kg.github.io/ontology#PhysicalFeature,PhysicalFeature,,Class,,,
https://climatepub4kg.github.io/ontology#PhysicalScheme,PhysicalScheme,,Class,,,
https://climatepub4kg.github.io/ontology#Platform,Platform,,Class,,,
https://climatepub4kg.github.io/ontology#Problem,Problem,,Class,,,
https://climatepub4kg.github.io/ontology#Project,Project,,Class,,,
https://climatepub4kg.github.io/ontology#RCM,RCM,,Class,,,
https://climatepub4kg.github.io/ontology#Realm,Realm,,Class,,,
https://climatepub4kg.github.io/ontology#Resolution,Resolution,,Class,,,
https://climatepub4kg.github.io/ontology#Result,Result,,Class,,,
https://climatepub4kg.github.io/ontology#SimulationType,SimulationType,,Class,,,
https://climatepub4kg.github.io/ontology#Source,Source,,Class,,,
https://climatepub4kg.github.io/ontology#SourceComponent,SourceComponent,,Class,,,
https://climatepub4kg.github.io/ontology#SourceType,SourceType,,Class,,,
https://climatepub4kg.github.io/ontology#SubExperiment,SubExperiment,,Class,,,
https://climatepub4kg.github.io/ontology#Task,Task,,Class,,,
https://climatepub4kg.github.io/ontology#Teleconnection,Teleconnection,,Class,,,
https://climatepub4kg.github.io/ontology#Variable,Variable,,Class,,,
https://climatepub4kg.github.io/ontology#Water_Bodies,Water_Bodies,,Class,,,
https://climatepub4kg.github.io/ontology#Weather_Event,Weather_Event,,Class,,,
https://climatepub4kg.github.io/ontology#APPLIES_TO_REALM,APPLIES_TO_REALM,,Predicate,,Experiment,Realm
https://climatepub4kg.github.io/ontology#APPLIES_TO_REALM,APPLIES_TO_REALM,,Predicate,,SourceComponent,Realm
https://climatepub4kg.github.io/ontology#APPLIES_TO_REALM,APPLIES_TO_REALM,,Predicate,,Source,Realm
https://climatepub4kg.github.io/ontology#ASSOCIATED_WITH_MEMBER,ASSOCIATED_WITH_MEMBER,,Predicate,,Source,Member
https://climatepub4kg.github.io/ontology#BELONGS_TO_MIP_ERA,BELONGS_TO_MIP_ERA,,Predicate,,Source,MIPEra
https://climatepub4kg.github.io/ontology#CORRESPONDS_TO,CORRESPONDS_TO,,Predicate,,Model,Source
https://climatepub4kg.github.io/ontology#COVERS_DOMAIN,COVERS_DOMAIN,,Predicate,,Project,Domain
https://climatepub4kg.github.io/ontology#COVERS_DOMAIN,COVERS_DOMAIN,,Predicate,,RCM,Domain
https://climatepub4kg.github.io/ontology#COVERS_REGION,COVERS_REGION,,Predicate,,RCM,City
https://climatepub4kg.github.io/ontology#COVERS_REGION,COVERS_REGION,,Predicate,,RCM,Continent
https://climatepub4kg.github.io/ontology#COVERS_REGION,COVERS_REGION,,Predicate,,RCM,Country_Subdivision
https://climatepub4kg.github.io/ontology#COVERS_REGION,COVERS_REGION,,Predicate,,RCM,Country
https://climatepub4kg.github.io/ontology#COVERS_REGION,COVERS_REGION,,Predicate,,RCM,No_Country_Region
https://climatepub4kg.github.io/ontology#COVERS_REGION,COVERS_REGION,,Predicate,,RCM,Water_Bodies
https://climatepub4kg.github.io/ontology#DRIVEN_BY_SOURCE,DRIVEN_BY_SOURCE,,Predicate,,RCM,Source
https://climatepub4kg.github.io/ontology#FOCUSES_ON_REALM,FOCUSES_ON_REALM,,Predicate,,Activity,Realm
https://climatepub4kg.github.io/ontology#GENERATED_BY_ACTIVITY,GENERATED_BY_ACTIVITY,,Predicate,,Source,Activity
https://climatepub4kg.github.io/ontology#HAS_METRIC,HAS_METRIC,,Predicate,,Source,Metric
https://climatepub4kg.github.io/ontology#HAS_PHYSICAL_FEATURE,HAS_PHYSICAL_FEATURE,,Predicate,,Source,PhysicalFeature
https://climatepub4kg.github.io/ontology#HAS_SIMULATION_TYPE,HAS_SIMULATION_TYPE,,Predicate,,Source,SimulationType
https://climatepub4kg.github.io/ontology#HAS_SOURCE_COMPONENT,HAS_SOURCE_COMPONENT,,Predicate,,Source,SourceComponent
https://climatepub4kg.github.io/ontology#HAS_SOURCE_COMPONENT,HAS_SOURCE_COMPONENT,,Predicate,,SourceComponent,SourceComponent
https://climatepub4kg.github.io/ontology#HAS_SPATIAL_RESOLUTION,HAS_SPATIAL_RESOLUTION,,Predicate,,Experiment,Resolution
https://climatepub4kg.github.io/ontology#HAS_SPATIAL_RESOLUTION,HAS_SPATIAL_RESOLUTION,,Predicate,,Source,Resolution
https://climatepub4kg.github.io/ontology#HAS_SPATIAL_RESOLUTION,HAS_SPATIAL_RESOLUTION,,Predicate,,Variable,Resolution
https://climatepub4kg.github.io/ontology#HAS_SUB_EXPERIMENT,HAS_SUB_EXPERIMENT,,Predicate,,Experiment,SubExperiment
https://climatepub4kg.github.io/ontology#HAS_SUBSEQUENT_VERSION,HAS_SUBSEQUENT_VERSION,,Predicate,,SourceComponent,SourceComponent
https://climatepub4kg.github.io/ontology#HAS_SUBSEQUENT_VERSION,HAS_SUBSEQUENT_VERSION,,Predicate,,SourceComponent,Source
https://climatepub4kg.github.io/ontology#HAS_SUBSEQUENT_VERSION,HAS_SUBSEQUENT_VERSION,,Predicate,,Source,Source
https://climatepub4kg.github.io/ontology#HAS_SUBSEQUENT_VERSION,HAS_SUBSEQUENT_VERSION,,Predicate,,Source,SourceComponent
https://climatepub4kg.github.io/ontology#IN_CONTINENT,IN_CONTINENT,,Predicate,,Country,Continent
https://climatepub4kg.github.io/ontology#IN_COUNTRY,IN_COUNTRY,,Predicate,,City,Country
https://climatepub4kg.github.io/ontology#IN_COUNTRY,IN_COUNTRY,,Predicate,,Country_Subdivision,Country
https://climatepub4kg.github.io/ontology#INCLUDES_ENSEMBLE_MEMBER,INCLUDES_ENSEMBLE_MEMBER,,Predicate,,Experiment,Ensemble
https://climatepub4kg.github.io/ontology#INCLUDES_EXPERIMENT,INCLUDES_EXPERIMENT,,Predicate,,ExperimentFamily,Experiment
https://climatepub4kg.github.io/ontology#INHERITED_FROM,INHERITED_FROM,,Predicate,,Source,Source
https://climatepub4kg.github.io/ontology#IS_OF_TYPE,IS_OF_TYPE,,Predicate,,Source,SourceType
https://climatepub4kg.github.io/ontology#METHOD_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,METHOD_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,,Predicate,,Method,ObservationalDataset
https://climatepub4kg.github.io/ontology#METHOD_HAS_INNOVATION,METHOD_HAS_INNOVATION,,Predicate,,Method,Innovation
https://climatepub4kg.github.io/ontology#METHOD_HAS_RESULT,METHOD_HAS_RESULT,,Predicate,,Method,Result
https://climatepub4kg.github.io/ontology#METHOD_SOLVES_PROBLEM,METHOD_SOLVES_PROBLEM,,Predicate,,Method,Problem
https://climatepub4kg.github.io/ontology#METHOD_USES_METRIC,METHOD_USES_METRIC,,Predicate,,Method,Metric
https://climatepub4kg.github.io/ontology#METHOD_USES_MODEL,METHOD_USES_MODEL,,Predicate,,Method,Model
https://climatepub4kg.github.io/ontology#METHOD_WORKS_ON_TASK,METHOD_WORKS_ON_TASK,,Predicate,,Method,Task
https://climatepub4kg.github.io/ontology#MODEL_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,MODEL_EXPERIMENTS_ON_OBSERVATIONAL_DATASET,,Predicate,,Model,ObservationalDataset
