URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,Statement,"A reified RDF statement (subject-predicate-object) representing one association edge and carrying its probability weight, score type, edge type, and provenance (source and generating method).",Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/Factor,Factor,"A latent factor (about 4,000) learned by the EAGGL method that models a disease mechanism shared across genes, gene sets, and traits.",Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/Gene,Gene,"A human gene, identified by its NCBI (Entrez) Gene identifier. About 20,000 genes are represented.",Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/GeneFactorAssociation,GeneFactorAssociation,A reified association linking a gene to a latent factor (disease mechanism).,Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/GeneInGeneSetAssociation,GeneInGeneSetAssociation,A reified association recording membership of a gene in a gene set.,Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/GeneSet,GeneSet,"A set of genes derived from a CFDE data-generation program dataset, used as a unit of evidence that links genes to traits.",Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/GeneSetFactorAssociation,GeneSetFactorAssociation,A reified association linking a gene set to a latent factor.,Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/GeneSetTraitAssociation,GeneSetTraitAssociation,A reified association linking a gene set to a trait it predicts.,Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/GeneTraitAssociation,GeneTraitAssociation,"A reified association linking a gene to a trait, annotated with a probability weight, score type, and generating method.",Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/GenerationMethod,GenerationMethod,"A computational method used to infer associations in the graph, namely PIGEAN or EAGGL.",Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/ScoreType,ScoreType,"The type of statistical score reported for an association, such as the PIGEAN combined score.",Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/Trait,Trait,"A human trait, disease, or phenotype endpoint (about 7,000), identified using ontologies such as Orphanet, EFO, MONDO, and HPO.",Class,,,
https://purl.org/okn/frink/kg/digcfdekg/schema/TraitFactorAssociation,TraitFactorAssociation,A reified association linking a trait to a latent factor that models its mechanism.,Class,,,
http://purl.org/dc/terms/source,source,"The data source or method from which the association was derived (e.g. PIGEAN, EAGGL).",Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,
http://www.w3.org/1999/02/22-rdf-syntax-ns#object,object,The entity in the object position of a reified association.,Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,https://purl.org/okn/frink/kg/digcfdekg/schema/Trait|https://purl.org/okn/frink/kg/digcfdekg/schema/Factor|https://purl.org/okn/frink/kg/digcfdekg/schema/GeneSet
http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate,predicate,The relationship type (object property) asserted by a reified association.,Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,
http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,subject,The entity in the subject position of a reified association.,Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,https://purl.org/okn/frink/kg/digcfdekg/schema/Gene|https://purl.org/okn/frink/kg/digcfdekg/schema/GeneSet|https://purl.org/okn/frink/kg/digcfdekg/schema/Trait
http://www.w3.org/2000/01/rdf-schema#label,label,A human-readable label for an entity.,Predicate,,https://purl.org/okn/frink/kg/digcfdekg/schema/Gene|https://purl.org/okn/frink/kg/digcfdekg/schema/Trait|https://purl.org/okn/frink/kg/digcfdekg/schema/GeneSet|https://purl.org/okn/frink/kg/digcfdekg/schema/Factor|https://purl.org/okn/frink/kg/digcfdekg/schema/GenerationMethod|https://purl.org/okn/frink/kg/digcfdekg/schema/ScoreType,
http://www.w3.org/ns/prov#wasGeneratedBy,was generated by,The generation method (PIGEAN or EAGGL) that produced the association.,Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,https://purl.org/okn/frink/kg/digcfdekg/schema/GenerationMethod
https://purl.org/okn/frink/kg/digcfdekg/schema/edgeType,edgeType,A string describing the type of edge represented by the association (e.g. Gene_to_Trait).,Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,
https://purl.org/okn/frink/kg/digcfdekg/schema/geneInGeneSet,Gene_in_GeneSet,Links a gene to a gene set it belongs to.,Predicate,,https://purl.org/okn/frink/kg/digcfdekg/schema/Gene,https://purl.org/okn/frink/kg/digcfdekg/schema/GeneSet
https://purl.org/okn/frink/kg/digcfdekg/schema/geneSetToFactor,GeneSet_to_Factor,Links a gene set to a latent factor.,Predicate,,https://purl.org/okn/frink/kg/digcfdekg/schema/GeneSet,https://purl.org/okn/frink/kg/digcfdekg/schema/Factor
https://purl.org/okn/frink/kg/digcfdekg/schema/geneSetToTrait,GeneSet_to_Trait,Links a gene set to a human trait it predicts.,Predicate,,https://purl.org/okn/frink/kg/digcfdekg/schema/GeneSet,https://purl.org/okn/frink/kg/digcfdekg/schema/Trait
https://purl.org/okn/frink/kg/digcfdekg/schema/geneToFactor,Gene_to_Factor,Links a gene to a latent factor (disease mechanism) it contributes to.,Predicate,,https://purl.org/okn/frink/kg/digcfdekg/schema/Gene,https://purl.org/okn/frink/kg/digcfdekg/schema/Factor
https://purl.org/okn/frink/kg/digcfdekg/schema/geneToTrait,Gene_to_Trait,Links a gene to a human trait it is inferred to be relevant to.,Predicate,,https://purl.org/okn/frink/kg/digcfdekg/schema/Gene,https://purl.org/okn/frink/kg/digcfdekg/schema/Trait
https://purl.org/okn/frink/kg/digcfdekg/schema/originalLabel,originalLabel,"The original source label for a trait, before normalization to an ontology identifier.",Predicate,,https://purl.org/okn/frink/kg/digcfdekg/schema/Trait,
https://purl.org/okn/frink/kg/digcfdekg/schema/scoreType,scoreType,The type of statistical score reported for the association.,Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,https://purl.org/okn/frink/kg/digcfdekg/schema/ScoreType
https://purl.org/okn/frink/kg/digcfdekg/schema/traitToFactor,Trait_to_Factor,Links a trait to a latent factor that models its mechanism.,Predicate,,https://purl.org/okn/frink/kg/digcfdekg/schema/Trait,https://purl.org/okn/frink/kg/digcfdekg/schema/Factor
https://purl.org/okn/frink/kg/digcfdekg/schema/weight,weight,The probability or score of the association (a numeric value).,Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,
