URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
https://w3id.org/biolink/vocab/AnatomicalEntity,AnatomicalEntity,An anatomical entity from ontology (e.g. UBERON) describing anatomical structures examined in assays,Class,,,
https://w3id.org/biolink/vocab/Assay,Assay,A unique assay instance representing differential gene expression measurements from Gene Expression Atlas,Class,,,
https://w3id.org/biolink/vocab/Association,Association,A general association between entities in the knowledge graph,Class,,,
https://w3id.org/biolink/vocab/Attribute,Attribute,An attribute or characteristic of an entity,Class,,,
https://w3id.org/biolink/vocab/BiologicalSex,BiologicalSex,The biological sex of study subjects,Class,,,
https://w3id.org/biolink/vocab/Cell,Cell,A cell type from Cell Ontology (CL) examined in assays or studies,Class,,,
https://w3id.org/biolink/vocab/Disease,Disease,A disease studied in experiments,Class,,,
https://w3id.org/biolink/vocab/Gene,Gene,A gene with unique identifier (NCBI Gene ID or Ensembl ID),Class,,,
https://w3id.org/biolink/vocab/GeneExpressionMixin,GeneExpressionMixin,An association representing differential gene expression between an assay and a gene with quantitative properties,Class,,,
https://w3id.org/biolink/vocab/LifeStage,LifeStage,The life stage or developmental stage of study subjects,Class,,,
https://w3id.org/biolink/vocab/OntologyClass,Ontology Class,,Class,,,
https://w3id.org/biolink/vocab/OrganismTaxon,Organism Taxon,,Class,,,
https://w3id.org/biolink/vocab/Pathway,Pathway,A biological pathway,Class,,,
https://w3id.org/biolink/vocab/PopulationOfIndividualOrganisms,PopulationOfIndividualOrganisms,A population or group of organisms,Class,,,
https://w3id.org/biolink/vocab/ProteinDomain,ProteinDomain,A protein domain,Class,,,
https://w3id.org/biolink/vocab/Study,Study,A study from Gene Expression Atlas containing multiple assays,Class,,,
http://purl.org/okn/wobd/adj_p_value,adj_p_value,Multiple testing-corrected p-value assessing the statistical significance of differential gene expression after controlling the false-discovery rate (FDR). Smaller values (e.g. <= 0.05) indicate the observed log2 fold change is unlikely to arise by chance (float),EdgeProperty,,,
http://purl.org/okn/wobd/array_design,array_design,Array design identifier for the assay (string),NodeProperty,,,
http://purl.org/okn/wobd/contrast_id,contrast_id,Unique identifier for the contrast in an association (string),NodeProperty,,,
http://purl.org/okn/wobd/direction,Direction,"The direction of differential expression (e.g., up- or down-regulated).",NodeProperty,,,
http://purl.org/okn/wobd/effect_size,effect_size,Effect size measure for the association (float),NodeProperty,,,
http://purl.org/okn/wobd/enrichment_source,Enrichment Source,The source ontology or database used for functional enrichment analysis.,NodeProperty,,,
http://purl.org/okn/wobd/experimental_factors,experimental_factors,Experimental factors applied in the study (string),NodeProperty,,,
http://purl.org/okn/wobd/log2fc,log2fc,Log2-transformed fold change in gene expression between experimental condition and reference baseline. Positive values indicate up-regulation while negative values denote down-regulation (float),EdgeProperty,,,
http://purl.org/okn/wobd/organism,Organism,The organism in which gene expression was measured.,NodeProperty,,,
http://purl.org/okn/wobd/p_value,p_value,Unadjusted p-value for statistical significance (float),NodeProperty,,,
http://purl.org/okn/wobd/project_title,project_title,Title of the study/project (string),NodeProperty,,,
http://purl.org/okn/wobd/pubmed_id,pubmed_id,PubMed identifier for associated publication (string),NodeProperty,,,
http://purl.org/okn/wobd/secondary_accessions,secondary_accessions,Alternative accession identifiers for the study (string),NodeProperty,,,
http://purl.org/okn/wobd/source,source,Data source (Gene Expression Atlas) (string),NodeProperty,,,
http://purl.org/okn/wobd/submitter_name,submitter_name,Name of study submitter (string),NodeProperty,,,
http://purl.org/okn/wobd/technology,technology,Platform or technology used for the assay (string),NodeProperty,,,
https://w3id.org/biolink/vocab/description,description,Textual description of an entity (string),NodeProperty,,Assay,
https://w3id.org/biolink/vocab/has_attribute,has_attribute,Links a study to its population attribute,Predicate,,Study,PopulationOfIndividualOrganisms
https://w3id.org/biolink/vocab/has_output,has_output,Links a study to its assay outputs,Predicate,,Study,Assay
https://w3id.org/biolink/vocab/id,id,Unique identifier for an entity (string),NodeProperty,,ProteinDomain,
https://w3id.org/biolink/vocab/in_taxon,in_taxon,Links a study to its taxonomic organism,Predicate,,Study,
https://w3id.org/biolink/vocab/name,name,Human-readable name for an entity (string),NodeProperty,,ProteinDomain,
https://w3id.org/biolink/vocab/object,object,Links GeneExpressionMixin to its object gene,Predicate,,GeneExpressionMixin,Gene
https://w3id.org/biolink/vocab/predicate,predicate,Defines the relationship type in an association (typically affects_expression_of),Predicate,,GeneExpressionMixin,
https://w3id.org/biolink/vocab/studies,studies,Links a study to disease studied,Predicate,,Study,Disease
https://w3id.org/biolink/vocab/subject,subject,Links GeneExpressionMixin to its subject assay,Predicate,,GeneExpressionMixin,Assay
https://w3id.org/biolink/vocab/symbol,symbol,Gene symbol (string),NodeProperty,,Gene,
