URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://rdfs.org/ns/void#Dataset,VoID Dataset,"A set of RDF triples that are published, maintained or aggregated by a single provider.",Class,,,
http://www.opengis.net/ont/geosparql#Geometry,geo:Geometry,A coherent set of direct positions in space. The positions are held within a Spatial Reference System (SRS).,Class,,,
http://www.opengis.net/ont/sf#GeometryCollection,Geometry Collection,A collection of heterogeneous geometric primitives.,Class,,,
http://www.opengis.net/ont/sf#LineString,Line String,A one-dimensional geometric primitive consisting of a sequence of points.,Class,,,
http://www.opengis.net/ont/sf#MultiPolygon,MultiPolygon,A geometry made up of multiple polygons.,Class,,,
http://www.opengis.net/ont/sf#Point,Point,A zero-dimensional geometric primitive representing a position in space.,Class,,,
http://www.opengis.net/ont/sf#Polygon,Polygon,A two-dimensional geometric primitive bounded by an exterior boundary and zero or more interior boundaries.,Class,,,
https://schema.org/DataDownload,Data Download,A dataset in downloadable form.,Class,,,
https://schema.org/Dataset,Dataset,A body of structured information describing some topic(s).,Class,,,
https://schema.org/GeoCoordinates,Geographic Coordinates,Geographic coordinates specifying latitude and longitude.,Class,,,
https://schema.org/GeoShape,Geographic Shape,A geographic shape such as a polygon or line.,Class,,,
https://schema.org/GovernmentOrganization,Government Organization,A governmental organization or agency.,Class,,,
https://schema.org/Organization,Organization,"An organized entity such as a company, government agency, or institution.",Class,,,
https://schema.org/Place,Place,An entity that has a somewhat fixed physical extent.,Class,,,
https://schema.org/PropertyValue,Property Value,A property-value pair for structured data.,Class,,,
https://schema.org/State,State,A state or province.,Class,,,
https://schema.org/WebPage,Web Page,A web page.,Class,,,
https://www.opengis.net/def/appschema/hy_features/hyf/HY_HydroLocation,HY Hydro Location,A location of hydrologic significance on a network.,Class,,,
https://www.opengis.net/def/appschema/hy_features/hyf/HY_HydrometricFeature,Hydrometric Feature (Application Schema),Application schema implementation of a hydrometric feature.,Class,,,
https://www.opengis.net/def/schema/hy_features/hyf/HY_FlowPath,hyf:HY_FlowPath,"The HY_Flowpath feature type realizes a catchment specifically as a path connecting the inflow and outflow of the catchment it realizes. HY_Flowpath specializes HY_CatchmentRealization with respect to an implied linear geometric representation including a straight or curved line. Topologically, the flowpath connects the inflow and outflow of the catchment, and is understood as an edge bounded by an inflow node and an outflow node, and corresponding to left-bank and right-bank catchment faces. Hydrologically, the flowpath is a line describing a moving particle of water.  Through generalization, HY_Flowpath inherits the shape and the realizedCatchment properties. The optional shape of the flowpath is usually a single curve.",Class,,,
