URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://gwml2.org/def/gwml2#GW_Aquifer,gwml2:GW_Aquifer,"A body of ground that contains, potentially contains or potentially contained sufficient saturated permeable material to yield significant quantities of water to wells and springs (after Lohman and others, 1972).",Class,,,
http://gwml2.org/def/gwml2#GW_AquiferSystem,gwml2:GW_AquiferSystem,"Aquifer system - A body of permeable and poorly permeable material that functions regionally as a water-yielding unit; it comprises two or more permeable beds separated at least locally by confining beds that impede groundwater movement but do not greatly affect the regional hydraulic continuity of the system; includes both saturated and unsaturated parts of permeable material (after ASCE, 1985).",Class,,,
http://hyfo.spatialai.org/v1/hyfo#AquiferWaterFeature,hyfo:AquiferWaterFeature,"An aquifer water feature including water, container, and void",Class,,,
http://hyfo.spatialai.org/v1/hyfo#SubsurfaceWaterFeature,hyfo:SubsurfaceWaterFeature,"A complete subsurface water feature including water, container, and void (for example, aquifer, well, et al.)",Class,,,
http://hyfo.spatialai.org/v1/hyfo#SurfaceWaterFeature,hyfo:SurfaceWaterFeature,"A complete surface water feature including water, container, and void (for example: lake, river, marsh, et al.)",Class,,,
http://hyfo.spatialai.org/v1/hyfo#WaterFeature,hyfo:WaterFeature,"A complete water feature including water, container, and void; includes surface and subsurface water features",Class,,,
http://hyfo.spatialai.org/v1/hyfo#WaterFeatureRepresentation,hyfo:WaterFeatureRepresentation,"A representation of a water feature (for example, a line or polygon)",Class,,,
http://nhdplusv2.spatialai.org/v1/nhdplusv2#FlowPathLength,nhdplusv2:FlowPathLength,The length of a flowpath,Class,,,
http://qudt.org/schema/qudt/IntervalScale,IntervalScale,A measurement scale with ordered values and meaningful differences but no true zero.,Class,,,
http://qudt.org/schema/qudt/NominalScale,NominalScale,A measurement scale whose values are unordered categories.,Class,,,
http://qudt.org/schema/qudt/NumericUnion,NumericUnion,A union datatype covering numeric value types.,Class,,,
http://qudt.org/schema/qudt/OrdinalScale,OrdinalScale,A measurement scale whose values are ordered but not numerically spaced.,Class,,,
http://qudt.org/schema/qudt/Quantity,qudt:Quantity,An observable quantity with a value and a unit.,Class,,,
