URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://semanticscience.org/resource/SIO_010035,gene,A region of DNA that encodes a functional product; used here for the small number of NeST members represented as genes rather than proteins.,Class,,,
http://semanticscience.org/resource/SIO_010043,protein,A protein is an organic polymer composed of one or more linear polymers of amino acids; NeST members and IAS network nodes are UniProt proteins.,Class,,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,Statement,"The class of RDF statements, used to reify protein-protein interaction edges so that IAS scores can be attached to them.",Class,,,
http://www.w3.org/2000/01/rdf-schema#Class,Class,The class of RDF classes; present because nestkg ships its own schema declarations alongside the data.,Class,,,
http://www.w3.org/2002/07/owl#Class,Class,The class of OWL classes; present because nestkg ships its own schema declarations alongside the data.,Class,,,
http://www.w3.org/ns/prov#Activity,Activity,Something that occurs over a period of time and acts upon entities; here the nest_to_rdf conversion run that generated the graph.,Class,,,
http://www.w3.org/ns/prov#Entity,Entity,"A physical, digital or conceptual thing with provenance; here the NeST dataset and the NDEx networks it was derived from.",Class,,,
https://w3id.org/biolink/vocab/Association,Association,"A reified statement linking a NeST protein system to a cancer type, carrying the evidence, knowledge level, and mutation frequency for that system-disease pair.",Class,,,
https://www.ndexbio.org/vocab/ProteinSystem,protein system,"A set of proteins identified as functioning together, derived by multiscale community detection over a protein-association network. Spans scales from protein complexes to broad cellular processes.",Class,,,
http://purl.org/dc/terms/created,created,Date of creation of the resource.,Predicate,,http://www.w3.org/ns/prov#Entity,
http://purl.org/dc/terms/description,description,An account of the resource.,Predicate,,http://www.w3.org/ns/prov#Entity,
http://purl.org/dc/terms/identifier,identifier,An unambiguous reference to the resource; NeST systems carry a NEST:n accession.,Predicate,,https://www.ndexbio.org/vocab/ProteinSystem,
http://purl.org/dc/terms/publisher,publisher,An entity responsible for making the resource available.,Predicate,,http://www.w3.org/ns/prov#Entity,
http://purl.org/dc/terms/source,source,A related resource from which the described resource is derived; the NeST publication.,Predicate,,http://www.w3.org/ns/prov#Entity,
http://purl.org/dc/terms/title,title,A name given to the resource.,Predicate,,http://www.w3.org/ns/prov#Entity,
http://www.w3.org/1999/02/22-rdf-syntax-ns#object,object,The object of a reified RDF statement; the second protein of an IAS interaction.,Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,http://semanticscience.org/resource/SIO_010035|http://semanticscience.org/resource/SIO_010043
http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate,predicate,The predicate of a reified RDF statement.,Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,
http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,subject,The subject of a reified RDF statement; the first protein of an IAS interaction.,Predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,http://semanticscience.org/resource/SIO_010035|http://semanticscience.org/resource/SIO_010043
http://www.w3.org/2000/01/rdf-schema#comment,comment,A human-readable description of the subject resource.,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#domain,domain,States that any resource with the given property is an instance of the stated class.,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#label,label,"A human-readable name for the subject resource; for a protein system this is its NeST system name, such as ""mRNA processing"".",Predicate,,http://semanticscience.org/resource/SIO_010035|http://semanticscience.org/resource/SIO_010043|https://www.ndexbio.org/vocab/ProteinSystem,
http://www.w3.org/2000/01/rdf-schema#range,range,States that the values of the given property are instances of the stated class or datatype.,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#seeAlso,see also,Indicates a resource that may provide additional information about the subject resource.,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#subClassOf,subclass of,States that all instances of one class are instances of another.,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,subproperty of,States that all resources related by one property are also related by another.,Predicate,,,
http://www.w3.org/ns/prov#wasAssociatedWith,was associated with,Assigns responsibility for an activity to an agent; the nest_to_rdf conversion code.,Predicate,,http://www.w3.org/ns/prov#Activity,
http://www.w3.org/ns/prov#wasDerivedFrom,was derived from,Links the graph to the source NDEx networks it was built from.,Predicate,,http://www.w3.org/ns/prov#Entity,
http://www.w3.org/ns/prov#wasGeneratedBy,was generated by,Links the dataset to the activity that produced it.,Predicate,,http://www.w3.org/ns/prov#Entity,http://www.w3.org/ns/prov#Activity
https://w3id.org/biolink/vocab/agent_type,agent type,The type of agent that produced the association; every NeST association is asserted by a data analysis pipeline.,Predicate,,https://w3id.org/biolink/vocab/Association,
https://w3id.org/biolink/vocab/has_evidence,has evidence,Links an association to an ECO evidence term describing how it was established.,Predicate,,https://w3id.org/biolink/vocab/Association,
https://w3id.org/biolink/vocab/has_member,has member,"Links a NeST protein system to a member protein. Membership is suppressed for systems above the size cutoff, so member counts may exceed the number of these triples.",Predicate,,https://www.ndexbio.org/vocab/ProteinSystem,http://semanticscience.org/resource/SIO_010035|http://semanticscience.org/resource/SIO_010043
https://w3id.org/biolink/vocab/interacts_with,interacts with,An undirected protein-protein association from the Integrated Association Stringency (IAS) network; reified so each edge carries its IAS score.,Predicate,,http://semanticscience.org/resource/SIO_010035|http://semanticscience.org/resource/SIO_010043,http://semanticscience.org/resource/SIO_010035|http://semanticscience.org/resource/SIO_010043
https://w3id.org/biolink/vocab/knowledge_level,knowledge level,The epistemic status of the association; NeST associations are statistical associations.,Predicate,,https://w3id.org/biolink/vocab/Association,
https://w3id.org/biolink/vocab/object,object,The object of a biolink association; a MONDO cancer type.,Predicate,,https://w3id.org/biolink/vocab/Association,
https://w3id.org/biolink/vocab/part_of,part of,"Places a NeST protein system within the containing system in the NeST hierarchy, up to the NEST root.",Predicate,,https://www.ndexbio.org/vocab/ProteinSystem,https://www.ndexbio.org/vocab/ProteinSystem
https://w3id.org/biolink/vocab/predicate,predicate,The relation asserted by a biolink association; NeST uses genetically associated with.,Predicate,,https://w3id.org/biolink/vocab/Association,
https://w3id.org/biolink/vocab/subject,subject,The subject of a biolink association; a NeST protein system.,Predicate,,https://w3id.org/biolink/vocab/Association,https://www.ndexbio.org/vocab/ProteinSystem
https://www.ndexbio.org/vocab/ias/integratedAssociationStringency,integrated association stringency,"The IAS score: a granularity/stringency measure of shared-system membership, trained to predict GO semantic similarity. NOT a probability, p-value, or binding score.",Predicate,https://w3id.org/biolink/vocab/interacts_with,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,http://www.w3.org/2001/XMLSchema#double
https://www.ndexbio.org/vocab/ias/retainedForConnectivity,retained for connectivity,"True on an edge kept only because it is one of its proteins' single highest-scoring edge, i.e. below the IAS core threshold. Emitted only where true.",Predicate,https://w3id.org/biolink/vocab/interacts_with,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,http://www.w3.org/2001/XMLSchema#boolean
https://www.ndexbio.org/vocab/memberCount,member count,"Number of distinct member proteins in the system as reported by the source. NOT necessarily the number of emitted biolink:has_member triples: membership is suppressed above the size cutoff, and a few members have no node in the interaction network.",Predicate,,https://www.ndexbio.org/vocab/ProteinSystem,http://www.w3.org/2001/XMLSchema#nonNegativeInteger
https://www.ndexbio.org/vocab/nest/hisigAdjustedPValue,HiSig adjusted p-value,"Benjamini-Hochberg-corrected empirical p-value from HiSig's permutation test, pan-cancer. One value per system, emitted for all systems; many are exactly 1.0, i.e. not significant.",Predicate,,https://www.ndexbio.org/vocab/ProteinSystem,http://www.w3.org/2001/XMLSchema#double
https://www.ndexbio.org/vocab/nest/hisigWeight,HiSig weight,"Lasso coefficient assigned to the system by HiSig - how much of the observed mutational signal the model attributes to it. One value per system, from the pan-cancer run. NOT a significance measure: read it together with nestv:hisigAdjustedPValue, emitted on the same node for every system.",Predicate,,https://www.ndexbio.org/vocab/ProteinSystem,http://www.w3.org/2001/XMLSchema#double
https://www.ndexbio.org/vocab/nest/tumorsMutatedFraction,tumors mutated fraction,Fraction of tumors in the cohort carrying at least one somatic mutation in any member gene of the system. Numerator: patients with >=1 mutated member. Denominator: patients in the cohort.,Predicate,,https://w3id.org/biolink/vocab/Association,http://www.w3.org/2001/XMLSchema#double
