URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://rdfs.org/ns/void#Dataset,Dataset,"A set of RDF triples that are published, maintained, or aggregated by a single provider and described as one dataset in the VoID vocabulary.",Class,,,
https://w3id.org/biolink/vocab/ConceptCountAnalysisResult,Concept Count Analysis Result,A result of a concept count analysis.,Class,,,
https://w3id.org/biolink/vocab/Dataset,Dataset,A collection of data items or records that can be used as evidence or supporting data in a study.,Class,,,
https://w3id.org/biolink/vocab/Disease,Disease,A pathological condition or disorder that affects an organism and is associated with signs symptoms or abnormal biological processes.,Class,,,
https://w3id.org/biolink/vocab/DiseaseToPhenotypicFeatureAssociation,Disease To Phenotypic Feature Association,An association between a disease and a phenotypic feature that may be observed in or characteristic of the disease.,Class,,,
https://w3id.org/biolink/vocab/EntityToDiseaseAssociation,Entity To Disease Association,An association between an entity and a disease.,Class,,,
https://w3id.org/biolink/vocab/LogOddsAnalysisResult,Log Odds Analysis Result,A result of a log odds ratio analysis.,Class,,,
https://w3id.org/biolink/vocab/PhenotypicFeature,Phenotypic Feature,A biological feature or observable characteristic of an organism that can be measured or described as part of a phenotype.,Class,,,
https://w3id.org/biolink/vocab/PhenotypicFeatureToPhenotypicFeatureAssociation,Phenotypic Feature To Phenotypic Feature Association,An association between two phenotypic features.,Class,,,
https://w3id.org/biolink/vocab/Study,Study,A planned investigation or analysis that produces study results and may use datasets or other evidence.,Class,,,
http://purl.org/dc/terms/modified,Date Modified,Date on which the resource was changed.,Predicate,,,
http://purl.org/pav/lastUpdatedOn,last Updated On,A date or date-time indicating when the described resource was last updated.,Predicate,,,
http://purl.org/pav/version,version,A version number or other version identifier for the described resource.,Predicate,,,
http://rdfs.org/ns/void#distinctObjects,distinct Objects,The total number of distinct resources or literals that occur in object position in triples in the dataset.,Predicate,,,
http://rdfs.org/ns/void#distinctSubjects,distinct Subjects,The total number of distinct resources that occur in subject position in triples in the dataset.,Predicate,,,
http://rdfs.org/ns/void#properties,properties,The total number of distinct properties that occur in predicate position in triples in the dataset.,Predicate,,,
http://rdfs.org/ns/void#property,property,The RDF property that is the predicate of all triples in a property-based partition.,Predicate,,,
http://rdfs.org/ns/void#propertyPartition,property Partition,A subset of a VoID dataset that contains only triples having a particular RDF property as predicate.,Predicate,,,
http://rdfs.org/ns/void#triples,triples,The total number of triples contained in a dataset.,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#label,label,A human-readable version of a resource name.,Predicate,,https://w3id.org/biolink/vocab/Dataset|https://w3id.org/biolink/vocab/Disease|https://w3id.org/biolink/vocab/PhenotypicFeature,
