URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://purl.obolibrary.org/obo/SO_0000694,SNP,A single nucleotide polymorphism; a single-base sequence variant that is polymorphic in a population.,Class,,,
http://purl.obolibrary.org/obo/SO_0001483,SNV,A single nucleotide variant; a genomic position at which different single-nucleotide alternatives exist.,Class,,,
http://purl.obolibrary.org/obo/SO_0001747,open chromatin region,"A DNA region corresponding to an unfolded, accessible stretch of chromatin.",Class,,,
http://rdfs.org/ns/void#Dataset,Dataset,"A set of RDF triples published, maintained, or aggregated as a single dataset, as defined by VoID.",Class,,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,Statement,An RDF reified statement representing a subject–predicate–object assertion.,Class,,,
https://purl.org/okn/frink/kg/pankgraph/schema/T1D,type 1 diabetes,PanKgraph class representing type 1 diabetes as a disease or condition of interest.,Class,,,
https://purl.org/okn/frink/kg/pankgraph/schema/gene_ontology,gene ontology,"PanKgraph class for Gene Ontology terms used to describe biological processes, molecular functions, or cellular components.",Class,,,
https://purl.org/okn/frink/kg/pankgraph/schema/go,Gene Ontology term,PanKgraph class for GO concepts used as functional annotation targets.,Class,,,
https://w3id.org/biolink/vocab/Article,Article,"A published or publishable information content entity, such as a scholarly article.",Class,,,
https://w3id.org/biolink/vocab/Cell,Cell,A biological cell type or cell population represented as a Biolink entity.,Class,,,
https://w3id.org/biolink/vocab/CellLine,Cell line,A population of cultured cells derived from a common source and maintained in vitro.,Class,,,
https://w3id.org/biolink/vocab/Disease,Disease,"A disorder, condition, or pathological process affecting an organism.",Class,,,
https://w3id.org/biolink/vocab/Gene,Gene,A genomic entity that encodes a functional RNA or protein product or otherwise represents a gene locus.,Class,,,
https://w3id.org/biolink/vocab/OntologyClass,Ontology class,A class or term from an ontology used as a controlled concept in the knowledge graph.,Class,,,
http://ldf.fi/void-ext#datatype,datatype,VoID-ext property indicating the datatype used by literal objects in a dataset partition.,Predicate,,,
http://ldf.fi/void-ext#datatypePartition,datatype partition,VoID-ext property linking a dataset or partition to a partition grouped by literal datatype.,Predicate,,,
http://ldf.fi/void-ext#objectClassPartition,object class partition,VoID-ext property linking a property partition to a partition grouped by object class.,Predicate,,,
http://purl.org/dc/terms/modified,modified,Dublin Core term recording the date or time a resource was modified.,Predicate,,,
http://purl.org/dc/terms/source,source,Dublin Core term identifying a related resource from which the described resource is derived.,Predicate,,,
http://purl.org/dc/terms/title,title,Dublin Core term specifying a name given to the resource.,Predicate,,,
http://purl.org/pav/lastUpdatedOn,last updated on,PAV provenance property giving the date on which the resource was last updated.,Predicate,,,
http://purl.org/pav/version,version,PAV provenance property giving a version identifier for the resource.,Predicate,,,
http://rdfs.org/ns/void#class,class,VoID property indicating an RDF class used in a class partition.,Predicate,,,
http://rdfs.org/ns/void#classPartition,class partition,VoID property linking a dataset to a partition containing triples about a specific class.,Predicate,,,
http://rdfs.org/ns/void#distinctObjects,distinct objects,VoID property giving the number of distinct objects in a dataset or partition.,Predicate,,,
http://rdfs.org/ns/void#distinctSubjects,distinct subjects,VoID property giving the number of distinct subjects in a dataset or partition.,Predicate,,,
http://rdfs.org/ns/void#entities,entities,VoID property giving the number of described entities in a dataset.,Predicate,,,
http://rdfs.org/ns/void#properties,properties,VoID property giving the number of distinct properties used in a dataset.,Predicate,,,
