URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://humanbehaviourchange.org/ontology/BCIO_003000,behaviour change intervention,An intervention that has the aim of influencing human behaviour.,Class,,,
http://humanbehaviourchange.org/ontology/BCIO_006014,social alienation,A mental disposition to perceive or experience oneself as isolated from and not meaningfully involved in social groups.,Class,,,
http://humanbehaviourchange.org/ontology/BCIO_006064,psychological need,Psychological needs can be satisfied or thwarted.,Class,,,
http://humanbehaviourchange.org/ontology/BCIO_006085,location,"An intervention could be used to rearrange objects in an environment, changing the location of a person relative to these objects and thereby increasing the likelihood of a behaviour.",Class,,,
http://humanbehaviourchange.org/ontology/BCIO_028000,behaviour change intervention scenario plan,A plan that is realized in a BCI scenario process.,Class,,,
http://humanbehaviourchange.org/ontology/BCIO_034000,population behaviour,"The class human behaviour [BCIO:042000] has been made obsolete. If you want to refer to the behaviour of an individual, refer to individual human behaviour . If you want to refer to the behaviour of a group, refer to population behaviour.",Class,,,
http://humanbehaviourchange.org/ontology/BCIO_036000,individual human behaviour,A bodily process of a human that involves co-ordinated contraction of striated muscles controlled by the brain.,Class,,,
http://humanbehaviourchange.org/ontology/BCIO_036001,human life function,"There are complex sets of processes involved in the realisation of human life functions, only some which would behaviours. An example for a human life function that is not a behaviour function: human thermoregulation via sweating function. However, some behaviours can fulfil 'human life functions'.  The term 'survive' refers to continuing one's existence (e.g., staying alive), while 'thrive' includes a wide range of processes that improve an animal's life, including physical and mental wellbeing and experiencing positive social interactions, as well as being able to reproduce. Many processes can contribute to a human surviving and thriving.",Class,,,
http://humanbehaviourchange.org/ontology/BCIO_036107,process aggregate,An occurrent consisting exactly of a plurality of processes that are process_aggregate_member_parts_of that occurrent for all times at which it exists.,Class,,,
http://humanbehaviourchange.org/ontology/BCIO_037000,intervention,A planned process that has the aim of influencing an outcome.,Class,,,
http://humanbehaviourchange.org/ontology/BCIO_042000,human behaviour,The superclass of all human behaviour types in the BCIO; use individual human behaviour or population behaviour for specific cases.,Class,,,
http://humanbehaviourchange.org/ontology/BCIO_043000,process attribute,A process profile that is an attribute of a process.,Class,,,
http://humanbehaviourchange.org/ontology/BCIO_050435,behavioural attribute,A process attribute of an individual human behaviour.,Class,,,
http://purl.obolibrary.org/obo/BFO_0000001,entity,The root class of the Basic Formal Ontology hierarchy; everything that exists in reality.,Class,,,
http://purl.obolibrary.org/obo/BFO_0000002,continuant,"An entity that persists, endures, or continues to exist through time while maintaining its identity.",Class,,,
http://purl.obolibrary.org/obo/BFO_0000003,occurrent,"An entity that unfolds itself in time or has temporal parts, phases, or stages.",Class,,,
http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",Class,,,
http://purl.obolibrary.org/obo/BFO_0000015,process,"An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.",Class,,,
http://purl.obolibrary.org/obo/BFO_0000016,disposition,"A realizable entity whose basis is the physical make-up of the bearer, which causes the bearer to behave in certain ways given certain triggers or circumstances.",Class,,,
http://purl.obolibrary.org/obo/BFO_0000017,realizable entity,A specifically dependent continuant that inheres in continuant entities and is not exhibited in full at every time it inheres in an entity.,Class,,,
http://purl.obolibrary.org/obo/BFO_0000019,quality,"A specifically dependent continuant that, in contrast to roles and dispositions, does not require any further process in order to be realized.",Class,,,
http://purl.obolibrary.org/obo/BFO_0000020,specifically dependent continuant,A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.,Class,,,
http://purl.obolibrary.org/obo/BFO_0000031,generically dependent continuant,A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.,Class,,,
http://purl.obolibrary.org/obo/BFO_0000034,function,A disposition that exists in virtue of the bearer's physical make-up and that came into being either through evolution or intentional design to realize processes of a certain sort.,Class,,,
http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that at all times at which it exists has some portion of matter as a proper or improper continuant part.,Class,,,
http://purl.obolibrary.org/obo/BFO_0000144,process profile,A process that is a part of a process such that there is some observable profile quality inhering in and realized by the process profile.,Class,,,
http://purl.obolibrary.org/obo/GO_0008150,biological_process,"Note that, in addition to forming the root of the biological process ontology, this term is recommended for the annotation of gene products whose biological process is unknown. When this term is used for annotation, it indicates that no information was available about the biological process of the gene product annotated as of the date the annotation was made; the evidence code 'no data' (ND), is used to indicate this.",Class,,,
http://purl.obolibrary.org/obo/IAO_0000027,data entity,An information content entity that is intended to be one or more truthful statements about something and is constructed or acquired by a method which reliably tends to produce approximately truthful statements.,Class,,,
http://purl.obolibrary.org/obo/IAO_0000030,information content entity,A generically dependent continuant that is about some thing.,Class,,,
http://purl.obolibrary.org/obo/IAO_0000033,directive information entity,An information content entity whose concretizations indicate to their bearer how to realize them in a process.,Class,,,
http://purl.obolibrary.org/obo/IAO_0000078,curation status specification,A data item that represents the curation status of an ontology term.,Class,,,
http://purl.obolibrary.org/obo/IAO_0000102,data about an ontology part,"Data about an ontology part is a data item about a part of an ontology, for example a term, an axiom, or a property.",Class,,,
http://purl.obolibrary.org/obo/IAO_0000225,obsolescence reason specification,A specification of the reason why an ontology term was made obsolete.,Class,,,
http://purl.obolibrary.org/obo/IAO_0000409,denotator type,A specification for a type of denotation used to reference an entity.,Class,,,
