URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://purl.uniprot.org/core/Protein,Protein,A protein entity from the UniProt knowledge base,Class,,,
http://purl.uniprot.org/core/Gene,Gene,A gene entity from the UniProt knowledge base,Class,,,
http://purl.uniprot.org/core/Taxon,Taxon,A taxonomic entity representing an organism,Class,,,
http://purl.uniprot.org/core/Organism,Organism,An organism in the UniProt taxonomy,Class,,,
http://purl.uniprot.org/core/Disease,Disease,A disease annotation from UniProt,Class,,,
http://purl.uniprot.org/core/Pathway,Pathway,A biological pathway annotation,Class,,,
http://purl.uniprot.org/core/Annotation,Annotation,A UniProt annotation entity,Class,,,
http://purl.uniprot.org/core/Sequence,Sequence,A protein or nucleotide sequence,Class,,,
http://purl.uniprot.org/core/Citation,Citation,A literature citation or reference,Class,,,
http://purl.uniprot.org/core/Enzyme,Enzyme,An enzyme classification entry,Class,,,
http://purl.uniprot.org/core/Subcellular_Location,Subcellular Location,A subcellular location annotation,Class,,,
http://purl.uniprot.org/core/Structure_Resource,Structure Resource,A protein structure resource,Class,,,
http://purl.uniprot.org/core/Reviewed,Reviewed,A reviewed (Swiss-Prot) UniProt entry,Class,,,
http://purl.uniprot.org/core/PTM_Annotation,PTM Annotation,A post-translational modification annotation,Class,,,
http://purl.uniprot.org/core/Natural_Variant_Annotation,Natural Variant Annotation,A natural variant annotation in UniProt,Class,,,
https://biolink.github.io/biolink-model/Gene,Gene (Biolink),A gene entity in the Biolink model,Class,,,
https://biolink.github.io/biolink-model/Protein,Protein (Biolink),A protein entity in the Biolink model,Class,,,
https://biolink.github.io/biolink-model/Disease,Disease (Biolink),A disease entity in the Biolink model,Class,,,
https://biolink.github.io/biolink-model/Drug,Drug (Biolink),A drug or chemical entity in the Biolink model,Class,,,
https://biolink.github.io/biolink-model/BiologicalProcess,Biological Process,A biological process in the Biolink model,Class,,,
https://biolink.github.io/biolink-model/MolecularActivity,Molecular Activity,A molecular activity in the Biolink model,Class,,,
https://biolink.github.io/biolink-model/CellularComponent,Cellular Component,A cellular component in the Biolink model,Class,,,
https://biolink.github.io/biolink-model/Pathway,Pathway (Biolink),A pathway entity in the Biolink model,Class,,,
https://biolink.github.io/biolink-model/SequenceVariant,Sequence Variant,A sequence variant in the Biolink model,Class,,,
https://w3id.org/biolink/vocab/AnatomicalEntity,Anatomical Entity,An anatomical entity in the Biolink model,Class,,,
https://w3id.org/biolink/vocab/Cell,Cell,A cell type entity in the Biolink model,Class,,,
https://w3id.org/biolink/vocab/ChemicalEntity,Chemical Entity,A chemical entity in the Biolink model,Class,,,
https://w3id.org/biolink/vocab/LifeStage,Life Stage,A life stage entity in the Biolink model,Class,,,
https://w3id.org/biolink/vocab/EnvironmentalFeature,Environmental Feature,An environmental feature entity,Class,,,
http://purl.obolibrary.org/obo/OBI_0000070,Assay,A planned process with the objective to produce information about a material entity,Class,,,
http://purl.obolibrary.org/obo/GO_0008150,Biological Process (GO),A biological process defined by the Gene Ontology,Class,,,
http://purl.obolibrary.org/obo/GO_0003674,Molecular Function (GO),A molecular function defined by the Gene Ontology,Class,,,
http://purl.obolibrary.org/obo/GO_0005575,Cellular Component (GO),A cellular component defined by the Gene Ontology,Class,,,
http://purl.obolibrary.org/obo/UBERON_0001062,Anatomical Entity (UBERON),An anatomical entity from the UBERON ontology,Class,,,
http://purl.obolibrary.org/obo/SO_0001811,Sequence Feature (SO),A sequence feature from the Sequence Ontology,Class,,,
http://purl.obolibrary.org/obo/NCIT_C43366,Drug/Chemical (NCIT),A drug or chemical compound from the NCI Thesaurus,Class,,,
http://purl.obolibrary.org/obo/NCIT_C19398,Pathway (NCIT),A biological pathway from the NCI Thesaurus,Class,,,
http://purl.obolibrary.org/obo/NCIT_C20130,Receptor (NCIT),A receptor protein from the NCI Thesaurus,Class,,,
http://purl.obolibrary.org/obo/FBcv_0003016,FlyBase CV Term,A FlyBase controlled vocabulary term,Class,,,
http://purl.obolibrary.org/obo/CHEMINF_000000,Chemical Entity (CHEMINF),A chemical information entity,Class,,,
http://aopkb.org/aop_ontology#AdverseOutcomePathway,Adverse Outcome Pathway,An adverse outcome pathway from the AOP knowledge base,Class,,,
http://aopkb.org/aop_ontology#KeyEvent,Key Event,A key event in an adverse outcome pathway,Class,,,
http://aopkb.org/aop_ontology#KeyEventRelationship,Key Event Relationship,A relationship between key events in an AOP,Class,,,
http://aopkb.org/aop_ontology#CellTypeContext,Cell Type Context,Cell type context in an AOP,Class,,,
http://aopkb.org/aop_ontology#OrganContext,Organ Context,Organ context in an AOP,Class,,,
http://id.nlm.nih.gov/mesh/vocab#Descriptor,MeSH Descriptor,A MeSH descriptor term,Class,,,
http://id.nlm.nih.gov/mesh/vocab#Concept,MeSH Concept,A MeSH concept,Class,,,
http://id.nlm.nih.gov/mesh/vocab#Term,MeSH Term,A MeSH term,Class,,,
http://id.nlm.nih.gov/mesh/vocab#Qualifier,MeSH Qualifier,A MeSH qualifier,Class,,,
http://id.nlm.nih.gov/mesh/vocab#SupplementaryConceptRecord,MeSH Supplementary Concept,A MeSH supplementary concept record,Class,,,
http://id.nlm.nih.gov/mesh/vocab#TreeNumber,MeSH Tree Number,A MeSH tree number,Class,,,
http://schema.org/Drug,Drug (schema.org),A drug entity in schema.org,Class,,,
http://schema.org/DefinedTerm,Defined Term,A defined term entity in schema.org,Class,,,
http://www.ebi.ac.uk/efo/EFO_0000651,Phenotype (EFO),A phenotype or disease from the Experimental Factor Ontology,Class,,,
http://www.bioassayontology.org/bao#BAO_0000040,Bioassay,A bioassay from the BioAssay Ontology,Class,,,
http://www.bioassayontology.org/bao#BAO_0003059,Compound (BAO),A compound entity from the BioAssay Ontology,Class,,,
http://www.bioassayontology.org/bao#BAO_0002646,Target (BAO),A target entity from the BioAssay Ontology,Class,,,
https://research.bioinformatics.udel.edu/ProKN/rdf/GOTerm,GO Term (ProKN),A Gene Ontology term entity in ProKN,Class,,,
https://research.bioinformatics.udel.edu/ProKN/rdf/GTExEXP,GTEx Expression,A GTEx gene expression entity in ProKN,Class,,,
https://w3id.org/reproduceme#Experiment,Experiment,An experiment entity from the ReproduceME ontology,Class,,,
http://asu.edu/semantics/SUDOKN/Manufacturer,Manufacturer,A manufacturing organization in the SUDOKN network,Class,,,
http://asu.edu/semantics/SUDOKN/ManufacturingProcessCapability,Manufacturing Process Capability,A manufacturing process capability,Class,,,
http://asu.edu/semantics/SUDOKN/MaterialProcessingCapability,Material Processing Capability,A material processing capability,Class,,,
http://asu.edu/semantics/SUDOKN/Certificate,Certificate,A quality or compliance certificate,Class,,,
http://asu.edu/semantics/SUDOKN/City,City,A city geographic entity,Class,,,
http://asu.edu/semantics/SUDOKN/Country,Country,A country geographic entity,Class,,,
http://asu.edu/semantics/SUDOKN/GeopoliticalSite,Geopolitical Site,A geopolitical site entity,Class,,,
http://edamontology.org/data_1011,EC number,Enzyme Commission number identifier,Predicate,,Protein,
http://edamontology.org/data_1025,Gene identifier,A unique identifier for a gene,Predicate,,Key Event; Protein,
http://edamontology.org/data_1519,Amino acid sequence variation,An amino acid sequence variation annotation,Predicate,,Protein,
http://edamontology.org/data_1756,Protein modification,Post-translational modification of a protein,Predicate,,PTM Annotation,
http://edamontology.org/topic_3120,Protein variants,Topic relating to protein variants,Predicate,,Natural Variant Annotation,
http://purl.allotrope.org/ontologies/result#AFR_0003142,result value,A result value from experimental measurement,Predicate,RO_0002436 (molecularly interacts with),,
http://purl.obolibrary.org/obo/BFO_0000050,part of,Relates an entity to one it is part of,Predicate,,Protein; GOTerm; Cell; AnatomicalEntity; Pathway,GOTerm; AnatomicalEntity; OrganContext; CellularComponent; BiologicalProcess
http://purl.obolibrary.org/obo/ECO_9000000,used in,Indicates that an evidence type is used in an assertion,Predicate,,Drug/Chemical (NCIT); Compound (BAO),
http://purl.obolibrary.org/obo/has_dbxref,has database cross-reference,A cross-reference to another database,Predicate,,,
http://purl.obolibrary.org/obo/MI_0116,feature type,A molecular interaction feature type,Predicate,,PTM Annotation,
http://purl.obolibrary.org/obo/MI_2236,up-regulates activity,Indicates up-regulation of molecular activity,Predicate,,PTM Annotation,Protein
http://purl.obolibrary.org/obo/MI_2241,down-regulates activity,Indicates down-regulation of molecular activity,Predicate,,PTM Annotation,Protein
http://purl.obolibrary.org/obo/NCIT_C164806,Gene Name,The name of a gene,Predicate,,Protein; Target (BAO),
http://purl.obolibrary.org/obo/NCIT_C25402,Accession Number,An accession number identifier,Predicate,,Protein; PTM Annotation,
http://purl.obolibrary.org/obo/NCIT_C43568,Gene Symbol,The official symbol for a gene,Predicate,,Protein,
http://purl.obolibrary.org/obo/NCIT_C49666,Efficacy Study,An efficacy study annotation,Predicate,RO_0002436 (molecularly interacts with),,
http://purl.obolibrary.org/obo/OMO_0003012,acronym,An acronym for an entity,Predicate,,,
http://purl.obolibrary.org/obo/RO_0000056,participates in,A relation between a continuant and a process in which it participates,Predicate,,Protein; ChemicalEntity,Bioassay; GOTerm; Pathway
http://purl.obolibrary.org/obo/RO_0002180,has component,Relates a whole to a component part,Predicate,,Pathway (NCIT),Protein
