URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://sail.ua.edu/ruralkg/settlementtype/CountyStatus,County Status,Represents the status classification of a county,Class,,,
http://sail.ua.edu/ruralkg/settlementtype/RUCC,RUCC,Rural-Urban Continuum Code classification,Class,,,
http://sail.ua.edu/ruralkg/settlementtype/SettlementType,Settlement Type,"A classification of a settlement, such as rural or urban.",Class,,,
http://sail.ua.edu/ruralkg/substanceabuse/Substance,Substance,Represents a substance involved in substance abuse,Class,,,
http://sail.ua.edu/ruralkg/substanceabuse/SubstanceRelatedIncident,Substance Related Incident,Represents an incident related to substance abuse,Class,,,
http://sail.ua.edu/ruralkg/treatment/MentalHealthService,Mental Health Service,Represents a mental health service offering,Class,,,
http://sail.ua.edu/ruralkg/treatment/MentalHealthServiceCategory,Mental Health Service Category,Represents a category of mental health services,Class,,,
http://sail.ua.edu/ruralkg/treatment/Treatment,Treatment,A substance-abuse treatment facility or service.,Class,,,
http://sail.ua.edu/ruralkg/treatment/TreatmentProvider,Treatment Provider,Represents an organization or individual providing treatment services,Class,,,
http://sail.ua.edu/ruralkg/variable/Answer,Answer,A response or value recorded for a variable.,Class,,,
http://sail.ua.edu/ruralkg/variable/NIBRS,NIBRS,National Incident-Based Reporting System variable,Class,,,
http://sail.ua.edu/ruralkg/variable/NIBRSAnswer,NIBRS Answer,Answer value for a NIBRS variable,Class,,,
http://sail.ua.edu/ruralkg/variable/NSDUH,NSDUH,National Survey on Drug Use and Health variable,Class,,,
http://sail.ua.edu/ruralkg/variable/NSDUHAnswer,NSDUH Answer,Answer value for an NSDUH variable,Class,,,
http://sail.ua.edu/ruralkg/variable/Variable,Variable,A measured data variable in the rural knowledge graph.,Class,,,
http://www.w3.org/2000/01/rdf-schema#Class,Class,RDF Schema class definition,Class,,,
http://www.w3.org/2002/07/owl#Ontology,Ontology,OWL ontology definition,Class,,,
http://purl.org/dc/terms/created,Created,Date of creation,Predicate,,,
http://purl.org/dc/terms/creator,Creator,Entity that created the resource,Predicate,,,
http://purl.org/dc/terms/description,Description,Description of the resource,Predicate,,,
http://purl.org/dc/terms/hasVersion,Has Version,Relates a resource to its version,Predicate,,,
http://purl.org/dc/terms/identifier,identifier,An unambiguous reference to the resource within a given context.,Predicate,,,
http://purl.org/dc/terms/title,Title,Name given to the resource,Predicate,,,
http://sail.ua.edu/ruralkg/justice/hasVariable,Has Variable,Associates an entity with a variable,Predicate,,,
http://sail.ua.edu/ruralkg/settlementtype/censusCounty,Census County,County designation from census data,Predicate,,,
http://sail.ua.edu/ruralkg/settlementtype/code,Code,Classification code for settlement type,Predicate,,,
http://sail.ua.edu/ruralkg/settlementtype/hasRUCC,Has RUCC,Associates an entity with a Rural-Urban Continuum Code,Predicate,,,
http://sail.ua.edu/ruralkg/settlementtype/population,Population,Population count,Predicate,,,
http://sail.ua.edu/ruralkg/settlementtype/year,Year,Year of data collection or classification,Predicate,,,
http://sail.ua.edu/ruralkg/substanceabuse/code,Code,Code identifier for substance abuse entity,Predicate,,,
http://sail.ua.edu/ruralkg/substanceabuse/conceptType,Concept Type,Type of concept in substance abuse domain,Predicate,,,
http://sail.ua.edu/ruralkg/substanceabuse/domainCategory,Domain Category,Category within substance abuse domain,Predicate,,,
http://sail.ua.edu/ruralkg/substanceabuse/fromDataset,From Dataset,Source dataset for the data,Predicate,,,
http://sail.ua.edu/ruralkg/substanceabuse/hasVariable,Has Variable,Associates entity with a variable,Predicate,,,
http://sail.ua.edu/ruralkg/substanceabuse/hierarchyLevel,Hierarchy Level,Level in a hierarchical classification,Predicate,,,
http://sail.ua.edu/ruralkg/substanceabuse/year,Year,Year of data collection,Predicate,,,
http://sail.ua.edu/ruralkg/treatment/code,Code,Code identifier for treatment entity,Predicate,,,
http://sail.ua.edu/ruralkg/treatment/containsService,Contains Service,Indicates that an entity contains a service,Predicate,,,
http://sail.ua.edu/ruralkg/treatment/providesService,Provides Service,Service provided by the entity,Predicate,,,
http://sail.ua.edu/ruralkg/treatment/year,Year,Year of data collection,Predicate,,,
http://sail.ua.edu/ruralkg/variable/answerCode,Answer Code,Code for an answer value,Predicate,,,
http://sail.ua.edu/ruralkg/variable/answerContent,Answer Content,Content of an answer,Predicate,,,
http://sail.ua.edu/ruralkg/variable/code,Code,Variable code identifier,Predicate,,,
http://sail.ua.edu/ruralkg/variable/content,Content,Content of the variable,Predicate,,,
http://sail.ua.edu/ruralkg/variable/fromDataset,From Dataset,Source dataset for the variable,Predicate,,,
http://sail.ua.edu/ruralkg/variable/generatedDescription,Generated Description,Auto-generated description,Predicate,,,
http://sail.ua.edu/ruralkg/variable/hasAnswer,Has Answer,Associates a variable with its answer,Predicate,,,
http://sail.ua.edu/ruralkg/variable/year,Year,Year of data collection,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#comment,Comment,Human-readable description or comment,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,Is Defined By,Resource that defines the subject resource,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#label,Label,Human-readable name,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#subClassOf,Subclass Of,Indicates that a class is a subclass of another class,Predicate,,,
http://www.w3.org/2004/02/skos/core#altLabel,altLabel,An alternative lexical label for a concept.,Predicate,,,
http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,Indicates two concepts can be used interchangeably across schemes.,Predicate,,,
https://schema.org/address,address,The physical address of the item.,Predicate,,,
https://schema.org/alternateName,alternate Name,An alias for the item.,Predicate,,,
https://schema.org/containedInPlace,contained In Place,The basic containment relation between a place and one that contains it.,Predicate,,,
https://schema.org/latitude,latitude,The latitude of a location (WGS84).,Predicate,,,
https://schema.org/longitude,longitude,The longitude of a location (WGS84).,Predicate,,,
https://schema.org/name,name,The name of the item.,Predicate,,,
https://schema.org/postalCode,postal Code,The postal code of an address.,Predicate,,,
https://schema.org/serviceLocation,service Location,The location where a service is provided.,Predicate,,,
https://schema.org/telephone,telephone,A telephone number.,Predicate,,,
