URI,Label,Description,Type
http://purl.obolibrary.org/obo/OBI_0000070,Assay,Unique identifier for an assay instance in the NASA Open Science Data Repository (OSDR),Class
https://w3id.org/biolink/vocab/AnatomicalEntity,Anatomy,UBERON ontology class name of an anatomical entity examined in an assay,Class
https://w3id.org/biolink/vocab/Cell,CellType,Cell ontology (CL) class name of a cell type examined in an assay,Class
https://w3id.org/biolink/vocab/Gene,Gene,Unique identifier for a human or model organism gene (ENTREZ id),Class
https://w3id.org/biolink/vocab/Study,Study,Unique identifier for a study instance in the NASA Open Science Data Repository (OSDR),Class
https://purl.org/okn/frink/kg/spoke-genelab/schema/MethylationRegion,MethylationRegion,"Unique identifier for a 1,000 base pair genomic region (MethylationRegion) exhibiting differential methylation",Class
https://purl.org/okn/frink/kg/spoke-genelab/schema/Mission,Mission,Unique identifier for a mission instance in the NASA Open Science Data Repository (OSDR),Class
https://purl.org/okn/frink/kg/spoke-genelab/schema/CONDUCTED_MIcS,CONDUCTED_MIcS,Mission conducted study,Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/INVESTIGATED_ASiA,INVESTIGATED_ASiA,Assay investigated anatomy,Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/INVESTIGATED_ASiCT,INVESTIGATED_ASiCT,Assay investigated cell type,Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/IS_ORTHOLOG_MGiG,IS_ORTHOLOG_MGiG,Model organism gene is an ortholog of a human gene,Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/MEASURED_DIFFERENTIAL_EXPRESSION_ASmMG,MEASURED_DIFFERENTIAL_EXPRESSION_ASmMG,Assay measured differential expressions of a model organism gene,Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/MEASURED_DIFFERENTIAL_METHYLATION_ASmMR,MEASURED_DIFFERENTIAL_METHYLATION_ASmMR,Assay measured differential methylation in a methylation region,Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/METHYLATED_IN_MGmMR,METHYLATED_IN_MGmMR,Model organism gene methylated in methylation region,Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/PERFORMED_SpAS,PERFORMED_SpAS,Study performed assay,Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/adj_p_value,adj_p_value,"Multiple testing-corrected p-value assessing the statistical significance of each gene's differential expression after controlling the false-discovery rate (FDR). Smaller values (e.g., <= 0.05) indicate that the observed log2 fold change is unlikely to arise by chance, even after accounting for the large number of simultaneous tests performed in the experiment. (float)",Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/chromosome,chromosome,Name or number of the chromosome (string),Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/dist_to_feature,dist_to_feature,Distance to feature (int),Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/end,end,Ending base pair position (int),Predicate
https://purl.org/okn/frink/kg/spoke-genelab/schema/end_date,end_date,End date of mission (date),Predicate
