URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://purl.org/dc/terms/source,Source,Where the information originally came from,Predicate,,,
http://www.opengis.net/ont/geosparql#asWKT,Geographic Coordinates,The geographic location represented in a standard format,Predicate,,,
http://www.geneontology.org/formats/oboInOwl#hasDbXref,Database Reference,A link to the same entity in another database,Predicate,,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Type,Specifies what kind of thing an entity is,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#comment,Comment,A human-readable description or annotation,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#label,Label,A human-readable name for an entity,Predicate,,,
http://www.w3.org/2000/01/rdf-schema#seeAlso,See Also,A reference to related information,Predicate,,,
https://purl.org/okn/frink/kg/spoke-okn/schema/ISA_SiS,Is Subtype Of (SDoH),Shows when one SDoH concept is a more specific type of another SDoH concept,Predicate,,SDoH,SDoH
https://purl.org/okn/frink/kg/spoke-okn/schema/ISA_DiD,Is Subtype Of (Disease),Shows when one disease is a more specific type of another disease,Predicate,,Disease,Disease
https://purl.org/okn/frink/kg/spoke-okn/schema/ISA_CiC,Is Subtype Of (Compound),Shows when one chemical compound is a more specific type of another compound,Predicate,,ChemicalEntity,ChemicalEntity
https://purl.org/okn/frink/kg/spoke-okn/schema/ISA_EiE,Is Subtype Of (Environment),Shows when one environment type is a more specific type of another environment,Predicate,,EnvironmentalFeature,EnvironmentalFeature
https://purl.org/okn/frink/kg/spoke-okn/schema/PARTOF_LpL,Part Of (Location),Shows when one geographic location is contained within another location,Predicate,,AdministrativeArea,AdministrativeArea
https://purl.org/okn/frink/kg/spoke-okn/schema/PARTOF_CpC,Part Of (Compound),Shows when one chemical structure is a component of a larger compound,Predicate,,ChemicalEntity,ChemicalEntity
https://purl.org/okn/frink/kg/spoke-okn/schema/FOUNDIN_CfL,Found In (Compound in Location),Indicates where a specific chemical compound has been detected or is present in a specific geographic area,Predicate,,ChemicalEntity,AdministrativeArea
https://purl.org/okn/frink/kg/spoke-okn/schema/FOUNDIN_EfL,Found In (Environment in Location),Indicates where a specific environmental condition or feature exists,Predicate,,EnvironmentalFeature,AdministrativeArea
https://purl.org/okn/frink/kg/spoke-okn/schema/ISOLATEDIN_OiL,Isolated In (Organism in Location),Shows which country a particular Organisms (bacterial strains) was collected or sampled,Predicate,,OrganismTaxon,AdministrativeArea
https://purl.org/okn/frink/kg/spoke-okn/schema/PREVALENCE_DpL,Disease Prevalence in Location,How common a disease is in a specific geographic area,Predicate,,Disease,AdministrativeArea
https://purl.org/okn/frink/kg/spoke-okn/schema/PREVALENCEIN_SpL,SDoH Prevalence in Location,How common a SDoH concept is in a specific geographic area,Predicate,,SDoH,AdministrativeArea
https://purl.org/okn/frink/kg/spoke-okn/schema/MORTALITY_DmL,Disease Mortality in Location,The mortality data or rate of the disease within a specific geographic location,Predicate,,Disease,AdministrativeArea
https://purl.org/okn/frink/kg/spoke-okn/schema/ASSOCIATES_DaG,Associates (Disease with Gene),Shows the association between a disease and a gene,Predicate,,Disease,Gene
https://purl.org/okn/frink/kg/spoke-okn/schema/ASSOCIATES_SaD,Associates (SDoH with Disease),Shows the association between a SDoH concept and a disease by analysis on MeSH term co-occurrence in MEDLINE papers ,Predicate,,SDoH,Disease
https://purl.org/okn/frink/kg/spoke-okn/schema/TREATS_CtD,Treats (Compound treats Disease),Shows that a drug or compound is used to treat a particular disease,Predicate,,ChemicalEntity,Disease
https://purl.org/okn/frink/kg/spoke-okn/schema/CONTRAINDICATES_CcD,Contraindicates (Compound contraindicated for Disease),Shows that a drug should not be used for a particular disease,Predicate,,ChemicalEntity,Disease
https://purl.org/okn/frink/kg/spoke-okn/schema/INTERACTS_CiC,Interacts (Compound with Compound),Shows when two drugs or compounds affect each other when taken together,Predicate,,ChemicalEntity,ChemicalEntity
https://purl.org/okn/frink/kg/spoke-okn/schema/UPREGULATES_CuG,Upregulates (Compound increases Gene),Shows that a drug or compound increases the expression of a gene,Predicate,,ChemicalEntity,Gene
https://purl.org/okn/frink/kg/spoke-okn/schema/DOWNREGULATES_CdG,Downregulates (Compound decreases Gene),Shows that a drug or compound decreases the activity of a gene,Predicate,,ChemicalEntity,Gene
https://purl.org/okn/frink/kg/spoke-okn/schema/EXPRESSEDIN_GeiD,Expressed In (Gene expressed in Disease),Shows gene expression level in one cancer type or a group of cancer types,Predicate,,Gene,Disease
https://purl.org/okn/frink/kg/spoke-okn/schema/RESPONDS_TO_OrC,Responds To (Organism responds to Compound),Shows how an organism (bacterial strains) reacts to a drug or chemical,Predicate,,OrganismTaxon,ChemicalEntity
https://purl.org/okn/frink/kg/spoke-okn/schema/RESISTANT_TO_mGrC,Resistant To (mutantGene resistant to Compound),Shows when variants of a gene resistant to a drug,Predicate,,Gene,ChemicalEntity
https://purl.org/okn/frink/kg/spoke-okn/schema/RESPONSE_TO_mGrC,Response To (mutantGene response to Compound),Shows when variants of a gene response to a drug,Predicate,,Gene,ChemicalEntity
https://purl.org/okn/frink/kg/spoke-okn/schema/ADVRESPONSE_TO_mGarC,Adverse Response To (mutantGene adverse response to Compound),Shows when variants of a gene adversely response to a drug,Predicate,,Gene,ChemicalEntity
https://purl.org/okn/frink/kg/spoke-okn/schema/MARKER_POS_GmpD,Positive Marker (Gene marker for Disease),"correlation between mRNA expression of a gene and patient survival of a cancer shows the gene is ""prognostic - favorable""",Predicate,,Gene,Disease
https://purl.org/okn/frink/kg/spoke-okn/schema/MARKER_NEG_GmnD,Negative Marker (Gene marker against Disease),"correlation between mRNA expression of a gene and patient survival of a cancer shows the gene is ""prognostic - unfavorable""",Predicate,,Gene,Disease
https://purl.org/okn/frink/kg/spoke-okn/schema/RESEMBLES_DrD,Resembles (Disease resembles Disease),Shows the association between two diseases by analysis on MeSH term co-occurrence in MEDLINE papers ,Predicate,,Disease,Disease
https://purl.org/okn/frink/kg/spoke-okn/schema/HASROLE_ChC,Has Role (Compound has biological role),Describes the biological function or purpose of a chemical compound,Predicate,,ChemicalEntity,ChemicalEntity
https://purl.org/okn/frink/kg/spoke-okn/schema/abbr,Abbreviation,two-letter postal state abbreviation,NodeProperty,,AdministrativeArea,
https://purl.org/okn/frink/kg/spoke-okn/schema/act_sources,Activity Sources,Where information about biological activity came from,EdgeProperty,CONTRAINDICATES_CcD; TREATS_CtD,,
https://purl.org/okn/frink/kg/spoke-okn/schema/antimicrobial_resistance,Antimicrobial Resistance,ability of bacteria to resist the effects of antibiotic drugs,NodeProperty,,OrganismTaxon,
https://purl.org/okn/frink/kg/spoke-okn/schema/biovar,Biovar,A variant of a bacterial species based on biochemical characteristics,NodeProperty,,OrganismTaxon,
https://purl.org/okn/frink/kg/spoke-okn/schema/city_fips,City FIPS Code,"five-digit number, composed by three-digit county code and two-digit city code to uniquely identify a city in a state",NodeProperty,,AdministrativeArea,
https://purl.org/okn/frink/kg/spoke-okn/schema/code,Code,GeoNames code to uniquely identify a geographic location,NodeProperty,,AdministrativeArea,
https://purl.org/okn/frink/kg/spoke-okn/schema/collection_date,Collection Date,When a sample was collected,NodeProperty,,OrganismTaxon,
https://purl.org/okn/frink/kg/spoke-okn/schema/cooccur,Co-occurrence,the number of articles in which the two terms co-occurred,EdgeProperty,ASSOCIATES_SaD; RESEMBLES_DrD,,
https://purl.org/okn/frink/kg/spoke-okn/schema/county_fips,County FIPS Code,Three-digit number to uniquely identify a county in a state,NodeProperty,,AdministrativeArea,
https://purl.org/okn/frink/kg/spoke-okn/schema/data_source,Data Source,Where the data originally came from,NodeProperty,,SDoH,
https://purl.org/okn/frink/kg/spoke-okn/schema/data_value,Data Value,The actural value of disease prevalence in a location,EdgeProperty,PREVALENCE_DpL,,
https://purl.org/okn/frink/kg/spoke-okn/schema/data_value_type,Data Value Type,"Measurements or statistics used to report the disease prevalence in a location, such as age-adjusted prevalence",EdgeProperty,PREVALENCE_DpL,,
https://purl.org/okn/frink/kg/spoke-okn/schema/data_value_unit,Data Value Unit,"The units used to measure the data value of disease prevalence in a location, such as percentage",EdgeProperty,PREVALENCE_DpL,,
https://purl.org/okn/frink/kg/spoke-okn/schema/date,Date,"The date related to compound In location, with the type of date defined in Date Type ",EdgeProperty,FOUNDIN_CfL,,
https://purl.org/okn/frink/kg/spoke-okn/schema/date_type,Date Type,"What kind of date used to report compound in location, such as sample collection date, completion date",EdgeProperty,FOUNDIN_CfL,,
https://purl.org/okn/frink/kg/spoke-okn/schema/ddi_risk,Drug-Drug Interaction Risk,The potential danger level when two drugs are taken together,EdgeProperty,INTERACTS_CiC,,
https://purl.org/okn/frink/kg/spoke-okn/schema/disease,Disease,The disease on which the variants of a gene affected by a compound ,NodeProperty,,OrganismTaxon,
https://purl.org/okn/frink/kg/spoke-okn/schema/domain,Domain,The major area of social determinant of health,NodeProperty,,SDoH,
https://purl.org/okn/frink/kg/spoke-okn/schema/enrichment,Enrichment,Statistical measure of how much more common two terms co-occur is than expected,EdgeProperty,ASSOCIATES_SaD; RESEMBLES_DrD,,
https://purl.org/okn/frink/kg/spoke-okn/schema/ensembl,Ensembl ID,A gene's identifier in Ensembl genome database,NodeProperty,,Gene,
https://purl.org/okn/frink/kg/spoke-okn/schema/fisher,Fisher's Test,the p-value from Fisher's exact test for whether the observed co-occurrence exceeded that expected by chance,EdgeProperty,ASSOCIATES_SaD; RESEMBLES_DrD,,
https://purl.org/okn/frink/kg/spoke-okn/schema/genbank_accessions,GenBank Accession,A unique identifier for a genetic sequence in the GenBank database,NodeProperty,,OrganismTaxon,
https://purl.org/okn/frink/kg/spoke-okn/schema/genome_size,Genome Size,The total amount of genetic material in an organism,NodeProperty,,OrganismTaxon,
https://purl.org/okn/frink/kg/spoke-okn/schema/ghe_code,Global Health Estimate Code,A standardized code for cause of death category used in WHO reports,EdgeProperty,MORTALITY_DmL,,
https://purl.org/okn/frink/kg/spoke-okn/schema/gram_stain,Gram Stain,A classification of bacteria based on their cell wall (positive or negative),NodeProperty,,OrganismTaxon,
https://purl.org/okn/frink/kg/spoke-okn/schema/has_amr_phenotype,Has Antimicrobial Resistance Phenotype,Whether the organism shows resistance or susceptibility to antibiotics,NodeProperty,,OrganismTaxon,
