URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://asu.edu/semantics/SUDOKN/hasProcessCapability,hasProcessCapability,Links a manufacturer to their manufacturing process capabilities,Predicate,,Manufacturer,ManufacturingProcessCapability
http://asu.edu/semantics/SUDOKN/hasMaterialCapability,hasMaterialCapability,Links a manufacturer to their material processing capabilities,Predicate,,Manufacturer,MaterialProcessingCapability
http://asu.edu/semantics/SUDOKN/hasCertificate,hasCertificate,Links a manufacturer to their quality certifications,Predicate,,Manufacturer,Certificate
http://asu.edu/semantics/SUDOKN/suppliesToIndustry,suppliesToIndustry,Indicates which industries a manufacturer supplies to,Predicate,,Manufacturer,Industry
http://asu.edu/semantics/SUDOKN/manufactures,manufactures,Indicates which product categories a manufacturer produces,Predicate,,Manufacturer,ProductCategory
http://asu.edu/semantics/SUDOKN/organizationLocatedIn,organizationLocatedIn,Links a manufacturer to their geospatial site location,Predicate,,Manufacturer,GeospatialSite
http://asu.edu/semantics/SUDOKN/hasBusinessDescription,hasBusinessDescription,Provides business description text for a manufacturer,Predicate,,Manufacturer,BusinessDescription
http://asu.edu/semantics/SUDOKN/hasEmailAddress,hasEmailAddress,Provides email contact for a manufacturer,Predicate,,Manufacturer,EmailAddress
http://asu.edu/semantics/SUDOKN/hasWebAddress,hasWebAddress,Provides website URL for a manufacturer,Predicate,,Manufacturer,WebAddress
http://asu.edu/semantics/SUDOKN/hasPhoneNumberValue,hasPhoneNumberValue,Provides phone contact for a manufacturer,Predicate,,Manufacturer,"Literal (string)"
http://asu.edu/semantics/SUDOKN/hasFaxNumberValue,hasFaxNumberValue,Provides fax number for a manufacturer,Predicate,,Manufacturer,"Literal (string)"
http://asu.edu/semantics/SUDOKN/hasNumberOfEmployees,hasNumberOfEmployees,Indicates the number of employees at a manufacturer,Predicate,,Manufacturer,"Literal (integer)"
http://asu.edu/semantics/SUDOKN/hasOrganizationYearOfEstablishment,hasOrganizationYearOfEstablishment,Year the manufacturing organization was established,Predicate,,Manufacturer,"Literal (year)"
http://asu.edu/semantics/SUDOKN/hasPrimaryNAICSClassifier,hasPrimaryNAICSClassifier,Primary NAICS industry classification for the manufacturer,Predicate,,Manufacturer,NAICSClassifier
http://asu.edu/semantics/SUDOKN/hasSecondaryNAICSClassifier,hasSecondaryNAICSClassifier,Secondary NAICS industry classifications for the manufacturer,Predicate,,Manufacturer,NAICSClassifier
http://asu.edu/semantics/SUDOKN/hasOwnershipStatusClassifier,hasOwnershipStatusClassifier,Special ownership status (e.g. woman-owned veteran-owned),Predicate,,Manufacturer,OwnershipStatusClassifier
http://asu.edu/semantics/SUDOKN/locatedInCity,locatedInCity,City where a geospatial site is located,Predicate,,GeospatialSite,City
http://asu.edu/semantics/SUDOKN/locatedInState,locatedInState,State where a geospatial site is located,Predicate,,GeospatialSite,State
http://asu.edu/semantics/SUDOKN/locatedInCountry,locatedInCountry,Country where a geospatial site is located,Predicate,,GeospatialSite,Country
http://asu.edu/semantics/SUDOKN/hasGeospatialLocation,hasGeospatialLocation,Links a site to its precise geographic coordinates,Predicate,,GeospatialSite,GeospatialLocation
http://asu.edu/semantics/SUDOKN/hasAddressLine,hasAddressLine,Street address line for a geospatial site,Predicate,,GeospatialSite,AddressLine
http://asu.edu/semantics/SUDOKN/hasZipcodeValue,hasZipcodeValue,ZIP/postal code for a geospatial site,Predicate,,GeospatialSite,"Literal (string)"
http://asu.edu/semantics/SUDOKN/hasLatitudeValue,hasLatitudeValue,Latitude coordinate for a geospatial location,Predicate,,GeospatialLocation,"Literal (decimal)"
http://asu.edu/semantics/SUDOKN/hasLongitudeValue,hasLongitudeValue,Longitude coordinate for a geospatial location,Predicate,,GeospatialLocation,"Literal (decimal)"
